Variable,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,1959.0,1960.0,1960.3,1961.0,1961.3,1962.0,1962.3,1963.0,1963.3,1964.0,1965.0,1966.0,1966.3,1967.0,1967.3,1968.0,1968.3,1969.0,1969.3,1970.0,1970.3,1971.0,1971.2,1971.3,1972.0,1972.2,1972.3,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Number of returns with AGI,5.5099008e7,5.2072006e7,5.1814124e7,5.3060098e7,5.5447009e7,5.6528817e7,5.7838184e7,5.6747008e7,5.8250188e7,5.9197004e7,5.9825121e7,5.9085182e7,6.0271297e7,6.1027931e7,6.1027931e7,6.149942e7,6.149942e7,6.2712386e7,6.2712386e7,6.3943236e7,6.3943236e7,6.5375601e7,6.75963e7,7.0160425e7,7.0160425e7,7.1651909e7,7.1651909e7,7.3728708e7,7.3728708e7,7.5834388e7,7.5834388e7,7.4279831e7,7.4279831e7,7.4576407e7,7.4576407e7,7.4576407e7,7.757273e7,7.757273e7,7.757273e7,8.0692587e7,8.334019e7,8.2229332e7,8.4670389e7,8.663464e7,8.9771551e7,9.2694302e7,9.3902469e7,9.5396123e7,9.5337432e7,9.632131e7,9.9438708e7,1.01660287e8,1.0304517e8,1.0699627e8,1.0970828e8,1.12135673e8,1.13717138e8,1.14730123e8,1.13604503e8,1.14601819e8,1.15943131e8,1.18218327e8,1.20351208e8,1.22421991e8,1.30076443e8,1.30423626e8,1.32226042e8,1.34372678e8,1.38394754e8,1.42978806e8,1.42450569e8,1.40494127e8,1.42892051e8,1.4537024e8,1.44928472e8,1.47351299e8,1.48606578e8,1.50493263e8,1.50272157e8,1.52903231e8,1.53774296e8,1.57796807e8,1.64358792e8,1.6082434e8,1.61336659e8
Adjusted gross income less deficits,8.248582e6,8.064025e6,7.912228e6,8.575507e6,8.871045e6,8.833798e6,8.8029e6,9.004043e6,9.553444e6,9.392978e6,9.963718e6,9.810158e6,1.022041e7,9.757486e6,9.757486e6,9.719238e6,9.719238e6,1.0210149e7,1.0210149e7,1.641731e6,1.641731e6,1.809362e6,1.726653e6,1.952249e6,1.952249e6,2.163364e6,2.163364e6,2.352663e6,2.352663e6,2.69968e6,2.69968e6,2.988636e6,2.988636e6,3.285612e6,3.285612e6,3.285612e6,3.661639e6,3.661639e6,3.661639e6,4.061739e6,4.834588e6,5.440145e6,5.829381e6,6.601644e6,7.867195e6,9.456875e6,1.1865856e7,1.5459784e7,1.807422e7,1.8259256e7,1.908296e7,2.0002986e7,2.0073189e7,1.8321913e7,1.9194505e7,1.9678697e7,2.0227059e7,2.1006471e7,1.9499758e7,7.9728631e7,8.2410237e7,9.4592325e7,1.04254986e8,1.20493432e8,1.03241332e8,1.15141232e8,1.46838808e8,1.66482004e8,1.99359146e8,2.37052127e8,2.19330668e8,1.63458846e8,1.83539268e8,1.94609806e8,2.60393306e8,2.14972683e8,2.54702232e8,2.6025272e8,2.54065327e8,2.82336042e8,3.21070381e8,3.31790638e8,3.27876787e8,3.86961461e8,4.1232085e8
Income tax after credits,4.29519e6,4.9709e6,5.246227e6,6.157699e6,6.056015e6,5.859624e6,5.828279e6,7.047866e6,7.850903e6,8.605656e6,9.123757e6,8.740562e6,9.355766e6,9.530143e6,9.530143e6,9.889743e6,9.889743e6,1.0639818e7,1.0639818e7,2.701652e6,2.701652e6,3.117638e6,3.568265e6,1.3998145e7,4.426138e6,1.4202149e7,5.046015e6,5.98846e6,5.539958e6,1.5739608e7,4.852489e6,1.5806924e7,1.5806924e7,2.4731456e7,2.4731456e7,2.4731456e7,2.739955e7,2.739955e7,2.739955e7,3.4513e6,4.205595e6,4.62122e6,5.246977e6,5.4603049e7,6.1222522e7,7.3875462e7,1.02009444e8,5.1886406e7,1.57021475e8,1.53805163e8,1.76369305e8,1.6340908e7,1.7683393e7,1.8721293e7,1.38785886e8,1.47358442e8,1.59294448e8,1.76501703e8,1.86491698e8,3.9749648e7,4.1749695e7,4.333345e7,4.668382e7,4.9348666e7,5.9908923e7,3.72931442e8,3.94285849e8,4.20144855e8,4.50454465e8,4.90581465e8,5.06269008e8,5.232958e8,5.58540932e8,5.81180358e8,6.12544219e8,6.38659076e8,6.63223262e8,6.89991999e8,6.93626543e8,7.29187412e8,1.14065349e8,7.84497673e8,8.27597726e8,8.58038339e8,9.11698884e8
Salaries and wages (gross),649626.0,755090.0,1.040789e6,1.019074e6,105179.0,134589.0,202302.0,5800.0,565614.0,625377.0,618020.0,618018.0,637398.0,660530.0,660530.0,583592.0,583592.0,584339.0,584339.0,47976.0,128535.0,2.879266e6,4.29201239e8,65932.0,3.681423e6,67787.0,4.341934e6,32311.0,5.54420486e8,82153.0,6.0354608e8,70741.0,1.533321e6,1.672034e6,1.672034e6,529664.0,1.924092e6,1.924092e6,677732.0,8.27148338e8,9.05523261e8,9.47784873e8,1.053895687e9,2.983617e6,3.310272e6,4.109979e6,4.974127e6,591508.0,6.089299e6,6.995997e6,7.658711e6,8.553385e6,9.901634e6,1.1374794e7,3.035504e6,3.598148e6,3.876235e6,4.141841e6,4.606142e6,9.474244e6,8.396624e6,8.192174e6,8.915212e6,9.221854e6,6.324051e6,1.083966e6,1.435566e6,1.654404e6,1.941673e6,2.505195e6,3.747624e6,3.10605e6,2.525833e6,2.595145e6,2.724256e6,4.286184e6,3.011568e6,5.033199e6,3.856714e6,3.977699e6,1.0814303e7,4.861091e6,4.65754e6,9.2689104e7,9.3025607e7
"Business and profession, net profit",1.49736082e8,1.63516014e8,1.60573925e8,1.79148276e8,2.02336485e8,2.15289908e8,2.28708256e8,2.29221375e8,2.48530317e8,2.67724268e8,2.80320566e8,2.81154092e8,3.05094979e8,3.15466382e8,3.15466382e8,601756.0,3.29861284e8,3.48701466e8,3.48701466e8,3.68778072e8,3.68778072e8,3.96659831e8,5.217505e6,4.68450579e8,4.68450579e8,5.04809479e8,5.04809479e8,5.54420486e8,5.538985e6,6.0354608e8,6.142145e6,6.3169254e8,6.3169254e8,6.73619046e8,6.73619046e8,6.73619046e8,7.4597454e8,7.4597454e8,7.4597454e8,1.1302742e7,1.1395684e7,1.0112147e7,1.0338735e7,1.9329363e7,2.2364088e7,6.153064e6,7.378903e6,6.930078e6,844209.0,638819.0,494226.0,587645.0,1.0648112e7,6.405125e6,3.6454512e7,4.648933e6,3.984634e6,2.474293e6,2.709848e6,2.633988e7,2.5782666e7,2.6140481e7,2.6119655e7,2.6982831e7,3.092379e7,7.472503e6,7.371027e6,8.484072e6,7.68398e6,9.931284e6,1.1749288e7,1.1615884e7,8.4637766e7,9.1182445e7,1.00870058e8,1.0404127e8,1.12414675e8,1.03058883e8,9.8193394e7,1.04770745e8,4.9288649e7,1.1232835e8,1.06880576e8,1.25168233e8,9.7314798e7
"Business and profession, net loss",295277.0,315709.0,438138.0,411287.0,459082.0,391519.0,515715.0,478242.0,529497.0,540653.0,604802.0,578402.0,656938.0,791440.0,791440.0,3.29861284e8,770393.0,865832.0,865832.0,4.657947e6,4.657947e6,1.0861548e7,194808.0,5.986131e6,5.986131e6,5.564763e6,5.564763e6,5.538985e6,348511.0,6.142145e6,358760.0,5.688226e6,5.688226e6,5.465547e6,5.465547e6,5.465547e6,7.337349e6,7.337349e6,7.337349e6,377824.0,411099.0,135604.0,155388.0,1.158492225e9,1.302447386e9,1.46539453e9,1.613731497e9,1.772604303e9,1.852135465e9,8.1393011e7,2.7589782e7,2.305951483e9,2.481681048e9,2.773824198e9,3.083019783e9,3.256358156e9,3.405427348e9,3.464524369e9,3.62912955e9,1.3140691e7,1.5774725e7,1.6041814e7,1.6027197e7,1.6069297e7,2.074377e7,6.717779e6,8.767672e6,7.811498e6,7.534789e6,5.438442e6,7.563571e6,6.821833e6,1.2252258e7,1.4562052e7,1.8185618e7,1.734251e7,1.6295763e7,1.3533867e7,1.1506347e7,1.1222173e7,3.4209498e7,1.0882071e7,1.2887044e7,4.9387898e7,5.3472482e7
"Partnership, net profit",1.125414e6,1.29345e6,1.52783e6,1.595604e6,1.702215e6,1.846899e6,2.042649e6,2.37023e6,2.583609e6,2.872013e6,3.31895e6,3.659211e6,4.395418e6,5.056793e6,5.056793e6,770393.0,5.683167e6,7.155412e6,7.155412e6,2.533239e6,0.0,0.0,1.852596e6,1.050652e6,1.083467e6,1.071911e6,1.358083e6,2.093204e6,2.411494e6,1.485024e6,2.564571e6,1.533321e6,2.205962e6,93031.0,93031.0,1.564618e6,100656.0,100656.0,602042.0,NaN,NaN,NaN,NaN,2.9211627e7,3.2743819e7,3.734651e7,4.3339736e7,1.5055155e7,6.0123166e7,5.2397694e7,5.819803e7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.136650742e9,2.098923017e9
"Partnership, net loss",0.0,0.0,0.0,0.0,1.208549e6,801836.0,908756.0,144965.0,20523.0,46806.0,14902.0,25085.0,25850.0,76330.0,674547.0,5.683167e6,669421.0,75016.0,691986.0,5.1323221e7,5.1323221e7,5.1306338e7,56731.0,5.7377515e7,5.7377515e7,5.8672938e7,5.8672938e7,6.1888013e7,472683.0,6.4219186e7,389789.0,5.9314011e7,5.9314011e7,5.991202e7,5.991202e7,5.991202e7,6.0865128e7,6.0865128e7,6.0865128e7,NaN,NaN,NaN,NaN,219968.0,230669.0,329556.0,414096.0,4.371339e6,342713.0,6.9813961e7,8.0447934e7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.507104e6,7.432678e6
"Sales of capital assets, net gain",1.8076281e7,1.5441529e7,1.4538141e7,1.8374922e7,2.4439073e7,2.8020288e7,2.9657273e7,2.6665753e7,2.9613722e7,3.2732132e7,3.4393639e7,3.4335652e7,3.8645299e7,3.9464156e7,3.9464156e7,78555.0,4.2225498e7,4.490284e7,4.490284e7,1.902057e6,1.902057e6,1.130831e6,1.565929e6,4.426138e6,1.915865e6,5.046015e6,2.21132e6,2.411494e6,1.190542e6,6.918126e6,770676.0,7.878808e6,7.878808e6,5.345125e6,5.345125e6,5.345125e6,6.099835e6,6.099835e6,6.099835e6,2.018737e6,2.331536e6,2.554324e6,2.871407e6,7.718984e6,7.469259e6,8.930395e6,1.1731416e7,1.6344061e7,1.7827797e7,0.0,8.9745075e7,583779.0,1.2987297e7,1.5827894e7,2.8201888e7,2.4572969e7,3.5573263e7,4.003077e7,4.2117716e7,8.6420482e7,8.7601531e7,8.9233118e7,9.0906919e7,5.1343546e7,9.0963775e7,2.3425623e7,2.2735928e7,2.220476e7,2.4206006e7,2.7046648e7,2.7569478e7,3.0314607e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60181396e8,1.764899e6,3.530839e6,0.0,677875.0,734788.0
