Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Number of returns, total ",1074120,1140574,1190286,1268042,1323187,1373517,1423980,1468725,1534360,1541670,1658820,1665477,1733332,1812760,1904670,1965894,2023647,2082200,2241887,2378779,2556794,2710535,2812420,2925933,2999071,3170743,3277219,3428515,3612133,3562789,3627863,3716650,3802788,3869023,3964629,4342368,4474167,4631370,4710083,4848888,4935904,5045274,5135591,5266607,5401237,5557965,5671257,5840799,5868849,5847221,5824545,5813725,5823126,5840821,5887804,6001491,6119565,6188676,6325114,6442134,6473747,6402130,6690732,6845719
    Number with net income ,670581,670239,715589,783195,808045,856515,915311,939846,988906,999328,1045520,1008337,1063940,1140182,1203356,1207396,1226208,1273535,1424528,1523648,1586485,1596632,1597298,1608357,1676288,1777770,1820120,1907738,1995452,1908799,1921805,1910670,1942450,2063593,2144534,2392357,2455492,2588424,2647474,2760814,2812175,2819153,2822302,2800517,2932115,3116468,3324260,3367313,3367720,3183821,3148768,3264726,3384712,3548701,3580938,3725161,3800502,3881041,3935907,4017829,4007280,3647531,4092595,4231157
    Consolidated returns ,4060,4534,4553,4847,5822,7450,8957,9759,10765,14330,17155,19871,23622,28207,31490,34678,38307,41401,46663,48954,53197,57890,62490,73029,73645,80256,79598,81956,80070,74247,74243,71769,69120,66479,64080,66907,65617,66146,63956,60812,57144,56603,56507,52743,49900,48066,46328,44648,43348,42285,39295,38009,37152,35623,35185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    S corporation returns ,71140,90221,106048,123666,139112,157855,173410,181851,200784,217184,233807,257475,262068,287906,313080,333099,358413,391700,428204,468679,514907,545389,541489,564219,648267,701339,724749,826214,1127905,1257191,1422967,1575092,1698271,1785371,1901505,2023754,2153119,2304416,2452254,2588088,2725775,2860478,2986486,3154377,3341606,3518334,3684086,3872766,3989893,4049944,4094562,4127554,4158572,4205452,4257909,4380125,4487336,4592042,4725684,4874996,4940351,4892722,5120552,5266702
Total assets,1136667759,1206662112,1289516071,1388126547,1481235845,1585618579,1723524382,1844775452,2010443291,2215624729,2445627954,2634706564,2889221468,3256831334,3648919824,4016466940,4286556273,4720938670,5326389281,6014452008,6835056963,7617238403,8547161872,9357784804,10201084144,11106701948,12773093888,14163209894,15310615602,16568467823,17647120286,18190057609,19029508839,20002093972,21815869373,23446206588,26013689001,28642263127,33029652126,37347352986,41464152854,47026871874,49154424202,50413501942,53644784683,60117759331,66445429787,73080647385,81486345776,76799143905,75965019409,79904747127,81279900132,84952035514,88213707424,95864232810,97048445409,1.01991E+11,1.07889E+11,1.08505E+11,1.1484E+11,1.24513E+11,1.41928E+11,1.43331E+11
    Cash ,91855941,97161824,101964552,NaN,108775140,113742142,117060042,126254588,139983881,150295368,162614615,176924573,196335069,228071734,258711569,281022745,290426439,314548604,361549924,412948244,461750680,528914747,533472168,540903600,590386817,595773262,683204264,762946878,754042297,784815919,823705622,771086440,786735219,806358400,812077106,853076121,962083261,1097176746,1299322671,1336424483,1596525490,1819788484,1926059284,1923414875,2119555828,2730468320,2823419976,2901709877,3625166997,4384454244,4852747568,3892719636,4196401064,4403873090,4871262451,5578377780,5304792241,5373945818,5610731755,5284486565,5895684759,8169637003,9149933980,8371318480
    Notes and accounts receivable ,232680893,247513105,265353485,NaN,339366673,356867843,405515032,428290282,463903350,515913293,580463441,614667367,670709397,785406229,915471738,1029914345,1051542806,1169304296,1337902515,1589330717,1814195947,1984601790,2239832960,2420475398,2677367962,2896980896,3317635191,3593528670,3763230257,4099147501,4195999662,4198016230,4191331906,4168985629,4532360299,4767673175,5306570583,5782978199,6631942847,7061547469,7744960605,8754425366,8755544213,8885603717,8995395904,10690858849,11962100582,13610860826,15314817641,13854552316,12544481793,12717849218,13089039155,13015872895,12714009753,14090273241,13752686880,15101867808,16358897021,15738215322,14980009727,14781120900,15667234539,17358605160
    Inventories,88303970,91334436,94818310,100326982,106339515,112960430,126340612,141019086,151580694,164432578,184582868,190401642,199091682,223847520,262566242,312096928,317718545,350644363,396032639,442652820,503033064,534806547,588219956,581241455,599445162,664243060,714722928,732587518,829272682,845783686,879318508,893586141,883913179,915412953,947287758,1125766128,1045010082,1079396261,1114311184,1139210381,1198184825,1271967443,1208206944,1221112550,1267289489,1386128237,1505452196,1612997968,1655695450,1619270780,1473962805,1544085221,1652538308,1750079892,1835614456,1944599505,1991084160,2000115280,2080180964,2225221641,2256514943,2136424830,2512019738,2913865596
    Investments in Government obligations ,134293124,135180295,144759556,NaN,150552545,155335021,156916102,157573498,173180511,185393774,178235006,196625390,222727559,239629907,249566202,256293337,316131699,357135346,380540830,403628383,420965658,472059737,514837697,605513662,685146228,725695801,916550098,1058718859,1092370975,1094749402,927940976,921193216,1068564351,1248403852,1290041298,1308919376,1363454504,1338891561,1343494697,1365651984,1340484175,1236229842,1392035604,1527139020,1656326948,1571309466,1613373550,1713665371,1785260524,2192988384,2500549942,2730470076,2859060985,3001645691,2957594592,3237253649,3450379836,4107333884,4327932582,4518685203,4536948303,6331934106,6609077276,6508398577
    Tax-exempt securities (1989+),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333792829,380320504,469245167,615621779,701101044,711589861,839783392,851259000,938749897,958653471,957099790,973317816,1057398071,1203096628,1297278783,1366224245,1468019062,1518183368,1718622032,1619564304,1737692798,1769186602,1767134477,1866958204,1869353240,1900119216,1965804968,1961655164,1996923497,1938278400,1802798398,1839363984,2090054319,1933494113
