Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Number of returns, total ",1.07412e6,1.140574e6,1.190286e6,1.268042e6,1.323187e6,1.373517e6,1.42398e6,1.468725e6,1.53436e6,1.54167e6,1.65882e6,1.665477e6,1.733332e6,1.81276e6,1.90467e6,1.965894e6,2.023647e6,2.0822e6,2.241887e6,2.378779e6,2.556794e6,2.710535e6,2.81242e6,2.925933e6,2.999071e6,3.170743e6,3.277219e6,3.428515e6,3.612133e6,3.562789e6,3.627863e6,3.71665e6,3.802788e6,3.869023e6,3.964629e6,4.342368e6,4.474167e6,4.63137e6,4.710083e6,4.848888e6,4.935904e6,5.045274e6,5.135591e6,5.266607e6,5.401237e6,5.557965e6,5.671257e6,5.840799e6,5.868849e6,5.847221e6,5.824545e6,5.813725e6,5.823126e6,5.840821e6,5.887804e6,6.001491e6,6.119565e6,6.188676e6,6.325114e6,6.442134e6,6.473747e6,6.40213e6,6.690732e6,6.845719e6
    Number with net income ,670581.0,670239.0,715589.0,783195.0,808045.0,856515.0,915311.0,939846.0,988906.0,999328.0,1.04552e6,1.008337e6,1.06394e6,1.140182e6,1.203356e6,1.207396e6,1.226208e6,1.273535e6,1.424528e6,1.523648e6,1.586485e6,1.596632e6,1.597298e6,1.608357e6,1.676288e6,1.77777e6,1.82012e6,1.907738e6,1.995452e6,1.908799e6,1.921805e6,1.91067e6,1.94245e6,2.063593e6,2.144534e6,2.392357e6,2.455492e6,2.588424e6,2.647474e6,2.760814e6,2.812175e6,2.819153e6,2.822302e6,2.800517e6,2.932115e6,3.116468e6,3.32426e6,3.367313e6,3.36772e6,3.183821e6,3.148768e6,3.264726e6,3.384712e6,3.548701e6,3.580938e6,3.725161e6,3.800502e6,3.881041e6,3.935907e6,4.017829e6,4.00728e6,3.647531e6,4.092595e6,4.231157e6
    Consolidated returns ,4060.0,4534.0,4553.0,4847.0,5822.0,7450.0,8957.0,9759.0,10765.0,14330.0,17155.0,19871.0,23622.0,28207.0,31490.0,34678.0,38307.0,41401.0,46663.0,48954.0,53197.0,57890.0,62490.0,73029.0,73645.0,80256.0,79598.0,81956.0,80070.0,74247.0,74243.0,71769.0,69120.0,66479.0,64080.0,66907.0,65617.0,66146.0,63956.0,60812.0,57144.0,56603.0,56507.0,52743.0,49900.0,48066.0,46328.0,44648.0,43348.0,42285.0,39295.0,38009.0,37152.0,35623.0,35185.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    S corporation returns ,71140.0,90221.0,106048.0,123666.0,139112.0,157855.0,173410.0,181851.0,200784.0,217184.0,233807.0,257475.0,262068.0,287906.0,313080.0,333099.0,358413.0,391700.0,428204.0,468679.0,514907.0,545389.0,541489.0,564219.0,648267.0,701339.0,724749.0,826214.0,1.127905e6,1.257191e6,1.422967e6,1.575092e6,1.698271e6,1.785371e6,1.901505e6,2.023754e6,2.153119e6,2.304416e6,2.452254e6,2.588088e6,2.725775e6,2.860478e6,2.986486e6,3.154377e6,3.341606e6,3.518334e6,3.684086e6,3.872766e6,3.989893e6,4.049944e6,4.094562e6,4.127554e6,4.158572e6,4.205452e6,4.257909e6,4.380125e6,4.487336e6,4.592042e6,4.725684e6,4.874996e6,4.940351e6,4.892722e6,5.120552e6,5.266702e6
Total assets [ = sum(l.7:l.20) - sum(l.21:l.24)  ],1136.667759,1206.662112,1289.516071,1388.126547,1481.235845,1585.618579,1723.524382,1844.775452,2010.443291,2215.624729,2445.627954,2634.706564,2889.221468,3256.831334,3648.919824,4016.46694,4286.556273,4720.93867,5326.389281,6014.452008,6835.056963,7617.238403,8547.161872,9357.784804,10201.084144,11106.701948,12773.093888,14163.209894,15310.615602,16568.467823,17647.120286,18190.057609,19029.508839,20002.093972,21815.869373,23446.206588,26013.689001,28642.263127,33029.652126,37347.352986,41464.152854,47026.871874,49154.424202,50413.501942,53644.784683,60117.759331,66445.429787,73080.647385,81486.345776,76799.143905,75965.019409,79904.747127,81279.900132,84952.035514,88213.707424,95864.23281,97048.445409,101991.0,107889.0,108505.0,114840.0,124513.0,141928.0,143331.0
    Cash ,91.855941,97.161824,101.964552,NaN,108.77514,113.742142,117.060042,126.254588,139.983881,150.295368,162.614615,176.924573,196.335069,228.071734,258.711569,281.022745,290.426439,314.548604,361.549924,412.948244,461.75068,528.914747,533.472168,540.9036,590.386817,595.773262,683.204264,762.946878,754.042297,784.815919,823.705622,771.08644,786.735219,806.3584,812.077106,853.076121,962.083261,1097.176746,1299.322671,1336.424483,1596.52549,1819.788484,1926.059284,1923.414875,2119.555828,2730.46832,2823.419976,2901.709877,3625.166997,4384.454244,4852.747568,3892.719636,4196.401064,4403.87309,4871.262451,5578.37778,5304.792241,5373.945818,5610.731755,5284.486565,5895.684759,8169.637003,9149.93398,8371.31848
    Notes and accounts receivable ,232.680893,247.513105,265.353485,NaN,339.366673,356.867843,405.515032,428.290282,463.90335,515.913293,580.463441,614.667367,670.709397,785.406229,915.471738,1029.914345,1051.542806,1169.304296,1337.902515,1589.330717,1814.195947,1984.60179,2239.83296,2420.475398,2677.367962,2896.980896,3317.635191,3593.52867,3763.230257,4099.147501,4195.999662,4198.01623,4191.331906,4168.985629,4532.360299,4767.673175,5306.570583,5782.978199,6631.942847,7061.547469,7744.960605,8754.425366,8755.544213,8885.603717,8995.395904,10690.858849,11962.100582,13610.860826,15314.817641,13854.552316,12544.481793,12717.849218,13089.039155,13015.872895,12714.009753,14090.273241,13752.68688,15101.867808,16358.897021,15738.215322,14980.009727,14781.1209,15667.234539,17358.60516
    Inventories,88.30397,91.334436,94.81831,100.326982,106.339515,112.96043,126.340612,141.019086,151.580694,164.432578,184.582868,190.401642,199.091682,223.84752,262.566242,312.096928,317.718545,350.644363,396.032639,442.65282,503.033064,534.806547,588.219956,581.241455,599.445162,664.24306,714.722928,732.587518,829.272682,845.783686,879.318508,893.586141,883.913179,915.412953,947.287758,1125.766128,1045.010082,1079.396261,1114.311184,1139.210381,1198.184825,1271.967443,1208.206944,1221.11255,1267.289489,1386.128237,1505.452196,1612.997968,1655.69545,1619.27078,1473.962805,1544.085221,1652.538308,1750.079892,1835.614456,1944.599505,1991.08416,2000.11528,2080.180964,2225.221641,2256.514943,2136.42483,2512.019738,2913.865596
    Investments in Government obligations ,134.293124,135.180295,144.759556,NaN,150.552545,155.335021,156.916102,157.573498,173.180511,185.393774,178.235006,196.62539,222.727559,239.629907,249.566202,256.293337,316.131699,357.135346,380.54083,403.628383,420.965658,472.059737,514.837697,605.513662,685.146228,725.695801,916.550098,1058.718859,1092.370975,1094.749402,927.940976,921.193216,1068.564351,1248.403852,1290.041298,1308.919376,1363.454504,1338.891561,1343.494697,1365.651984,1340.484175,1236.229842,1392.035604,1527.13902,1656.326948,1571.309466,1613.37355,1713.665371,1785.260524,2192.988384,2500.549942,2730.470076,2859.060985,3001.645691,2957.594592,3237.253649,3450.379836,4107.333884,4327.932582,4518.685203,4536.948303,6331.934106,6609.077276,6508.398577
    Tax-exempt securities (1989+),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,333.792829,380.320504,469.245167,615.621779,701.101044,711.589861,839.783392,851.259,938.749897,958.653471,957.09979,973.317816,1057.398071,1203.096628,1297.278783,1366.224245,1468.019062,1518.183368,1718.622032,1619.564304,1737.692798,1769.186602,1767.134477,1866.958204,1869.35324,1900.119216,1965.804968,1961.655164,1996.923497,1938.2784,1802.798398,1839.363984,2090.054319,1933.494113
