Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of partnerships,1.073094e6,NaN,NaN,1.234157e6,NaN,1.379654e6,1.460502e6,1.514212e6,1.541539e6,1.643581e6,1.713603e6,1.702952e6,1.648032e6,1.654245e6,1.635164e6,1.553529e6,1.515345e6,1.484752e6,1.467567e6,1.493963e6,1.5809e6,1.654256e6,1.758627e6,1.855348e6,1.936919e6,2.0575e6,2.132117e6,2.242169e6,2.375375e6,2.546877e6,2.763625e6,2.947116e6,3.096334e6,3.146006e6,3.168728e6,3.248481e6,3.285177e6,3.388561e6,3.460699e6,3.611255e6,3.715187e6,3.763117e6,3.905335e6,4.0102e6,3.82147e6,4.28069e6,4.467584e6,4.500186e6
   Number of partners,NaN,NaN,NaN,6.121455e6,NaN,8.419899e6,1.2225123e7,9.764667e6,1.0589338e7,1.2426721e7,1.3244824e7,1.522853e7,1.6963258e7,1.7291178e7,1.8431918e7,1.7094966e7,1.5801047e7,1.5734691e7,1.5626848e7,1.4989505e7,1.5605686e7,1.5662298e7,1.6183715e7,1.5663372e7,1.5924404e7,1.3659967e7,1.4231604e7,1.4328108e7,1.4108458e7,1.5556553e7,1.6211908e7,1.6727803e7,1.8515694e7,1.930025e7,2.1141979e7,2.2428047e7,2.4389807e7,2.5333616e7,2.7491241e7,2.7714478e7,2.7093015e7,2.8163819e7,2.7500929e7,2.7448391e7,2.5269018e7,2.8246795e7,3.0624451e7,2.8797574e7
Partnerships reporting balance sheet data:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Number of partnerships,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,975330.0,976967.0,987504.0,1.053139e6,1.12958e6,1.211006e6,1.30397e6,1.392405e6,1.504978e6,1.59145e6,1.682072e6,1.768302e6,1.890134e6,2.195814e6,2.195814e6,2.342664e6,2.372838e6,2.378615e6,2.413306e6,2.474044e6,2.540028e6,2.551456e6,2.743876e6,2.771012e6,2.842119e6,2.961807e6,3.021683e6,2.910458e6,3.220547e6,3.41385e6,3.43191e6
   Number of partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.349285e7,1.3117383e7,1.2670748e7,1.3309111e7,1.3033369e7,1.3080094e7,1.2647463e7,1.1868041e7,1.0997133e7,1.1980809e7,1.1912262e7,1.1788129e7,1.2989001e7,1.4206709e7,1.4206709e7,1.588279e7,1.6654321e7,1.8397525e7,1.9866051e7,2.1779003e7,2.2747559e7,2.4307025e7,2.3965867e7,2.3875553e7,2.5146808e7,2.4060789e7,2.4014222e7,2.171046e7,2.4981177e7,2.7107788e7,2.5376338e7
Total assets,NaN,NaN,NaN,353.69618,NaN,597.503923,715.232726,845.281449,886.992767,1030.848519,1269.434302,1403.750213,1381.296736,1580.194209,1791.027273,1685.22345,1816.567895,1907.344453,2118.268141,2295.212222,2718.647742,3368.165845,4171.498832,5126.548007,5998.952883,6694.142838,8428.217379,8866.560101,9675.052728,11607.69814,13734.256305,17146.275372,20386.133966,19259.803843,18798.108367,19820.20657,20574.459139,22014.928866,24163.12612,26128.933308,27366.26683,28950.043266,32403.619868,34348.00674,36048.324019,43182.900507,50832.008026,52530.13078
      Cash,NaN,NaN,NaN,13.884746,NaN,20.37261,21.039753,23.347081,NaN,NaN,NaN,NaN,NaN,59.815618,62.785635,61.612527,63.382784,67.798312,79.601201,89.468559,96.230699,124.321426,149.16956,181.853173,217.624508,262.730114,341.943005,403.493682,412.617128,498.678562,723.469011,723.469011,912.437146,1123.130066,968.070198,1020.462381,1136.045788,1066.981227,1166.969742,1249.156699,1284.945654,1329.101516,1400.907077,1454.10169,1399.057722,1911.042623,2285.086251,2254.617631
      Notes and accounts recievable,NaN,NaN,NaN,25.299171,NaN,40.360541,36.36286,38.254789,NaN,NaN,NaN,NaN,NaN,71.326331,77.224078,82.481044,84.807814,98.327332,112.16667,132.697118,160.689273,217.826767,269.234797,342.827502,392.065104,432.129579,543.2988,534.791029,523.616923,613.117125,848.375657,848.375657,837.186359,918.06419,674.50028,811.630309,706.20564,810.689885,777.826685,768.151318,784.715852,853.409501,939.568764,966.687944,888.406567,1112.957979,1219.033262,1337.234157
             Less: Allowance for bad debts,NaN,NaN,NaN,0.232454,NaN,0.262071,0.354839,0.412656,NaN,NaN,NaN,NaN,NaN,1.138288,1.315991,1.564754,1.640205,2.019847,2.345802,2.725168,3.323099,3.790817,5.411782,6.147687,7.47651,9.488129,11.980083,12.667511,11.984877,12.313591,17.09112,17.09112,17.419682,22.240072,22.654804,29.978138,19.595995,27.584783,19.825973,21.281732,25.564542,28.858693,42.96776,28.941621,31.625964,38.107724,42.620429,41.472424
      Inventories,NaN,NaN,NaN,17.20299,NaN,33.218272,59.64995,100.728688,NaN,NaN,NaN,NaN,NaN,51.151852,59.442619,56.507062,56.845071,61.86569,71.278725,76.305276,88.050194,136.707577,147.387132,175.963423,174.078288,149.875359,208.165141,202.669386,213.605408,275.807149,445.560371,445.560371,338.632126,430.585792,277.271147,277.105259,285.098559,304.13161,313.310248,330.745639,343.441047,367.003652,378.005853,411.089286,391.412768,438.065984,462.734368,521.143032
