Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of returns,71140.0,90221.0,106048.0,123666.0,139112.0,157855.0,173410.0,181851.0,200784.0,217184.0,233807.0,257475.0,262068.0,287906.0,313080.0,333099.0,358413.0,391700.0,428204.0,468679.0,514907.0,545389.0,541489.0,564219.0,648267.0,701339.0,724749.0,826214.0,1.127905e6,1.257191e6,1.422967e6,1.575092e6,1.698271e6,1.785371e6,1.901505e6,2.023754e6,2.153119e6,2.304416e6,2.452254e6,2.588088e6,2.725775e6,2.860478e6,2.986486e6,3.154377e6,3.341606e6,3.518334e6,3.684086e6,3.872766e6,3.989893e6,4.049944e6,4.094562e6,4.127554e6,4.158572e6,4.205452e6,4.257909e6,4.380125e6,4.487336e6,4.592042e6,4.725684e6,4.874996e6,4.940351e6,4.892722e6,5.120552e6,5.266702e6
Total assets [ = sum(l.4 :l.17) - sum(l.18:l.21) ],7.633413,9.334835,NaN,12.679545,14.833675,16.877964,19.239447,21.351389,24.234096,26.450189,31.976473,33.397424,34.745158,40.54302,48.934906,53.919325,55.529316,62.19704,71.570536,79.448133,85.777842,87.412922,91.171986,110.51289,142.211607,180.17341,207.935175,250.975543,443.723257,584.533143,687.394399,744.307752,769.648961,808.090676,870.298964,943.67974,1017.592855,1100.360936,1307.473289,1455.483439,1628.692515,1790.711766,1883.045385,2016.708482,2186.582412,2437.711147,2736.981803,3048.770219,3324.336756,3367.303575,3240.100938,3324.883416,3441.159883,3593.278237,3741.797771,3990.973368,4144.561136,4340.405858,4520.485499,4504.690021,4668.546217,5036.862574,5569.733713,5952.691882
    Cash,0.827924,0.900593,NaN,NaN,1.534002,NaN,1.889866,2.284696,NaN,NaN,3.143755,NaN,NaN,NaN,5.04708,NaN,5.51092,NaN,7.149043,7.551598,7.798782,8.020977,7.876585,10.721652,14.064692,17.804462,19.811793,24.405166,44.333827,55.565702,62.981398,68.969946,73.244012,77.366319,83.607463,90.239607,96.692242,110.477442,130.898379,146.742521,164.614106,176.557304,199.927925,219.453977,236.100733,261.118654,294.920709,326.69652,363.586613,385.242478,396.962696,421.344295,452.305454,498.722089,518.976315,557.577994,594.538595,641.189495,641.747979,612.908625,671.766385,943.843974,1088.092571,1016.642476
    Trade notes and accounts receivable,1.99351,2.360412,NaN,NaN,3.63446,NaN,4.775001,5.045553,NaN,5.661036,7.202814,7.00628,7.261483,8.309391,9.69112,10.166189,10.382324,11.193732,13.108683,14.486988,14.51403,14.9162,14.841833,18.089986,24.154653,32.228057,36.789276,41.833523,84.436427,110.878851,128.113022,141.144287,140.780101,150.367365,166.085157,182.512403,196.952906,209.440115,271.562884,311.096499,352.382872,397.415183,416.602491,445.062685,491.576924,559.765519,639.360891,719.297364,816.67053,810.822887,755.218538,774.957316,793.726322,823.352288,860.34487,925.647587,945.62115,980.777078,1049.312728,1025.695417,832.865899,806.98305,871.157883,970.98834
    Inventories,1.788127,2.070281,2.41197,2.65649,3.152186,3.411139,4.059438,4.372972,4.800989,5.288925,6.470721,6.534014,6.936399,7.824436,9.652989,10.91704,11.460274,13.040445,14.720223,16.632652,17.465476,16.328626,16.159941,19.358751,23.783466,28.925232,35.792468,44.173919,94.372378,122.007283,138.706407,146.150954,146.29819,153.561103,166.773466,183.409745,194.348354,203.470594,221.503423,229.247269,249.639265,268.98951,263.793245,291.142518,309.619396,351.216788,386.285723,426.401226,436.143907,423.887071,362.959063,383.829461,407.741845,435.70317,465.204868,492.525904,506.901479,517.752715,540.180088,561.798244,563.438589,514.484138,565.561009,649.246717
    Investments in government obligations ,0.086851,0.10215,NaN,NaN,0.168903,NaN,0.113596,0.175708,NaN,NaN,0.372949,NaN,NaN,NaN,0.197872,NaN,0.28894,NaN,0.382031,0.398325,0.355256,0.281858,0.414168,0.830832,1.339156,1.647468,2.215857,2.618685,4.9247,5.002356,3.815981,5.160436,5.994914,5.252913,5.221011,6.520923,6.669174,6.69865,17.65481,26.450601,27.592243,27.814809,30.077903,36.265246,44.166897,48.55822,52.277991,52.92979,59.136727,54.708426,55.13051,57.703348,63.924139,66.122317,68.030331,68.873439,64.128675,60.587634,61.294434,55.161644,52.129613,56.421641,78.146326,83.934327
    Tax-exempt securities (1989-2019),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.61522,2.087262,2.657278,3.301498,3.378405,3.88253,3.54158,3.544316,5.942443,8.13642,9.273383,10.358782,11.545639,13.478592,16.792093,18.05714,20.930607,22.692832,25.04412,25.175935,27.03216,30.028255,32.970733,37.267839,39.778219,40.90354,43.115127,43.443702,42.800465,38.088954,35.893555,45.534474,NaN,51.792628
    Other current assets,0.112809,0.148865,NaN,NaN,0.377121,NaN,0.836482,0.961775,NaN,NaN,1.547108,NaN,NaN,NaN,3.073931,NaN,2.944915,NaN,4.359562,4.633818,5.687069,5.117615,5.395752,7.820911,9.771556,9.979416,12.271396,15.665361,26.002752,34.527017,40.581306,41.255849,42.701618,44.285834,47.428761,51.418135,54.630365,61.737398,72.643744,83.359809,91.013444,103.383569,112.074809,120.520788,133.657273,149.147414,182.574093,208.937184,224.033365,212.605878,195.61358,191.679559,197.536151,199.981482,207.218088,220.786864,242.476682,252.106276,267.578125,276.690078,298.675746,323.708742,385.523879,432.862509
    Loans to shareholders,0.02966,0.052384,NaN,NaN,0.14061,NaN,0.210651,0.260089,NaN,NaN,0.499319,NaN,NaN,NaN,0.738259,NaN,0.94204,NaN,1.319047,1.376178,1.433513,1.808491,2.013178,2.52634,3.1541,3.736541,4.441548,5.080325,8.214204,10.470786,12.587169,13.576468,14.406925,14.878249,17.07162,17.582699,19.545365,21.793262,24.21326,26.586863,28.446188,31.53397,34.445125,36.473333,40.927873,43.204927,49.536428,54.678831,58.342252,63.7362,62.092104,63.966409,64.884513,65.505986,67.651004,70.498374,73.846039,75.763836,81.715813,86.461813,88.162768,99.326997,109.174544,121.414611
    Mortgage and real estate loans (1959-60 & 1966-2019),0.072581,0.085443,NaN,NaN,NaN,NaN,NaN,0.119547,NaN,NaN,0.267887,NaN,NaN,NaN,0.501636,NaN,0.629926,NaN,0.829555,1.214268,1.299666,1.439449,1.31085,1.686786,2.613626,3.55038,4.864295,5.786865,7.066408,8.323953,9.705011,9.903162,10.096934,10.892649,12.272233,11.124662,11.359087,13.090954,24.464235,25.094935,27.336546,27.843577,32.898134,45.304471,50.323933,64.651042,68.876939,64.550717,59.640474,56.780143,58.969657,64.721505,67.480847,80.095815,74.5885,88.206064,86.249057,99.868068,98.009682,78.871965,284.356374,344.399118,345.236716,349.880951
