Tax Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of returns,1.6955023e7,1.7176487e7,1.7408809e7,1.7575643e7,1.7904731e7,1.833819e7,1.8925517e7,1.9710079e7,2.0590691e7,2.1467566e7,2.2074953e7,2.3122698e7,2.2614483e7,2.2659976e7,2.3003656e7,2.342694e7,2.355385e7,2.4074684e7,2.4631831e7,2.5226245e7,2.5525915e7,2.6426406e7,2.7117163e7,2.7817189e7,2.8353367e7,2.9309596e7,3.098381e7
"Business receipts, total",843.233843,870.392286,918.268196,969.347038,1020.957283,1016.834678,1029.69176,1050.202446,1139.52376,1222.880231,1278.359791,1324.40308,1317.443005,1178.437093,1195.538629,1265.939196,1301.569749,1341.571082,1393.884201,1443.584972,1422.204586,1531.34602,1589.748596,1639.728938,1605.197079,1868.021679,2080.716063
   Income from sales and operations,831.545876,858.452648,905.137974,955.392128,1007.948354,1002.205953,1015.363541,1033.934376,1122.226857,1204.827487,1258.697676,1303.976701,1295.786783,1159.222294,1176.206483,1246.203934,1280.820568,1323.404314,1375.499498,1423.134601,1404.235056,1510.780389,1569.615542,1615.873947,1579.537603,1839.527658,2050.190877
   Other business income (loss),11.687967,11.939638,13.130222,13.95491,13.008929,14.628725,14.328219,16.268071,17.296903,18.052744,19.662115,20.426379,21.656221,19.214799,19.332146,19.735262,20.749181,18.166767,18.384703,20.450371,17.96953,20.565631,20.133054,23.854991,25.659477,28.494021,30.525186
"Business deductions, total",666.460878,683.872364,716.15743,761.427577,806.386102,799.63311,808.900651,820.206714,892.402428,953.391489,1001.097557,1044.343442,1053.705955,934.535659,928.962901,984.232565,997.563229,1040.388788,1078.489983,1112.822766,1094.904101,1186.503818,1242.400412,1282.971549,1268.856548,1458.037481,1671.944235
"   Cost of sales and operations, total",316.42094,319.557408,341.132831,370.079223,387.381087,363.355614,351.785009,338.376959,370.951227,396.875774,409.660968,422.684549,434.868323,366.437993,366.788735,393.867193,389.755266,405.646247,416.84049,431.691688,410.648959,432.499944,441.730396,439.350757,452.16274,518.369147,580.186437
"      Inventory, beginning of year",32.021142,32.058234,30.801698,31.540485,32.412471,34.176255,34.291721,34.924642,35.761115,38.10165,41.10165,44.469609,46.735278,45.587003,41.814829,41.450035,39.186807,40.341597,41.257805,41.587894,40.996287,41.617846,44.130575,45.599324,44.65604,48.318701,50.176506
      Cost of labor,26.001536,24.940782,27.447822,28.723302,29.278688,28.022289,30.389028,28.03207,31.768695,32.163009,31.743915,34.514589,31.282105,27.668467,27.16212,28.135817,30.613034,32.79205,33.097068,36.945498,36.005268,41.871362,41.380058,42.62758,41.616947,44.647559,54.128427
      Purchases,220.02882,224.259001,231.40496,255.539328,268.789953,246.541135,227.085757,218.445328,238.922503,252.8877,259.992655,264.234818,280.662351,238.855556,239.643142,255.734112,251.131346,259.752148,256.014297,264.670333,239.341682,254.601987,253.859367,250.421988,255.083122,299.286515,334.331517
      Materials and supplies,40.47339,37.552076,42.161782,41.757379,43.195524,43.798283,45.58923,46.554634,53.267879,55.902012,59.699442,61.519006,56.592372,45.105577,44.701762,49.038859,49.980435,51.766931,56.559536,61.108307,64.083272,64.559685,70.280304,69.990202,72.035489,81.290917,97.740569
      Other costs,31.681218,33.970016,42.198086,46.353794,48.046814,46.55014,50.70906,47.331624,50.186705,59.845901,61.626532,64.956668,66.776845,55.368892,55.019497,61.589932,59.269401,62.627583,73.156587,70.954423,72.793454,73.972204,76.215122,77.551856,83.747699,92.325798,100.114824
"      Inventory, end of year",33.785165,33.2227,32.881518,33.835064,34.342365,35.732488,36.279786,36.911339,38.955669,42.024497,44.503226,47.010141,47.180627,46.147501,41.552615,42.081563,40.425758,41.634062,43.244803,43.574766,42.571004,44.123139,44.135029,46.840192,44.976557,47.500342,56.305406
   Advertising expenses,8.974861,8.977738,9.413989,9.453659,10.1487,10.774079,11.237979,12.340084,12.888316,14.449493,15.274111,15.731012,14.767208,13.612756,13.259209,13.404462,13.699938,14.912641,14.999674,15.771694,16.189658,17.470293,17.754464,18.525919,18.029036,20.836415,23.42757
   Car and truck expenses,36.700251,38.727748,39.715702,40.786963,45.711214,47.35194,50.489359,53.466645,58.980274,71.013061,75.402429,82.023756,85.054914,75.04833,73.255131,83.405796,86.142042,89.043045,92.320003,89.810369,88.617433,96.63395,105.596494,116.395615,104.205704,116.726714,142.521516
   Commissions,10.791724,10.985782,10.722131,11.228396,11.62149,12.130077,14.066786,13.502446,13.267025,15.439663,15.634322,14.569232,13.381218,11.759029,12.235245,12.683341,14.243839,14.171366,14.23629,16.754234,16.350703,18.589086,18.680616,20.543299,19.220238,24.422161,26.462554
   Contract labor,,,,,,,,16.977798,24.686741,28.223647,34.577865,36.674415,35.388217,32.306689,34.439304,37.782056,42.039749,47.646379,53.539818,54.170585,56.858822,64.840825,69.258312,77.456413,76.881428,92.405445,113.514
   Depletion,0.56632,0.565328,0.380149,0.387,0.684974,0.693669,0.461938,0.639008,0.775567,1.061786,1.058351,1.021072,1.423771,0.687754,0.912271,0.998009,0.937061,1.047454,0.898356,0.475514,0.43036,0.576286,0.68493,0.567064,0.464048,0.585109,1.014596
   Depreciation,27.364611,28.625259,29.135616,30.637555,32.196159,33.425567,36.642027,41.754963,42.900776,39.080205,39.004511,39.645972,41.446328,34.546428,35.123984,35.615262,34.244946,35.378629,36.56889,38.432775,38.403988,42.073428,50.776575,51.977185,55.064529,65.604743,78.238472
   Employee benefit programs,1.409655,1.416962,1.560404,1.663528,1.871875,2.040639,2.284368,2.421673,2.6178,2.798308,2.867672,2.90954,2.897005,2.870284,3.009809,2.950434,2.940884,3.105352,3.007737,2.928225,2.891865,3.107407,3.08607,3.186108,3.220708,3.356224,3.701361
   Insurance,13.195206,13.299494,12.938411,13.219821,13.623759,14.367018,16.004335,17.48921,18.864229,19.000895,19.083862,19.290556,18.308063,17.117138,16.300227,16.630243,16.879712,17.994572,18.70785,19.513476,19.965726,21.210311,22.279295,23.425535,23.702326,25.434274,27.628038
   Legal and professional services,6.330311,6.551619,6.669029,6.818392,7.312694,7.482619,8.36593,8.284557,8.95914,9.83687,10.09291,10.934377,11.108794,10.265039,10.159946,10.884148,10.848073,11.574507,12.058746,12.846985,13.068456,14.720479,14.945415,15.986785,15.692101,17.57761,20.140479
   Meals deducted,3.519959,3.570473,3.79635,4.031523,4.664694,4.735312,5.088083,5.524213,5.997824,6.802217,7.306309,7.66149,7.335934,7.500635,7.99661,8.413751,8.806864,9.511772,9.539241,9.913823,10.450719,11.324283,11.343749,12.108075,10.220269,15.136746,18.555794
   Mortgage interest,4.475403,4.533657,4.882248,4.736127,5.250896,5.456226,5.006864,4.762929,5.167373,5.543658,6.297485,6.648973,6.481051,5.361051,4.928496,4.430249,3.621187,3.426685,3.190308,3.253641,3.153261,3.137012,3.547847,4.005966,3.514348,3.5572,4.265423
