Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of partnerships,1073094,NaN,NaN,1234157,NaN,1379654,1460502,1514212,1541539,1643581,1713603,1702952,1648032,1654245,1635164,1553529,1515345,1484752,1467567,1493963,1580900,1654256,1758627,1855348,1936919,2057500,2132117,2242169,2375375,2546877,2763625,2947116,3096334,3146006,3168728,3248481,3285177,3388561,3460699,3611255,3715187,3763117,3905335,4010200,3821470,4280690,4467584,4500186
   Number of partners,NaN,NaN,NaN,6121455,NaN,8419899,12225123,9764667,10589338,12426721,13244824,15228530,16963258,17291178,18431918,17094966,15801047,15734691,15626848,14989505,15605686,15662298,16183715,15663372,15924404,13659967,14231604,14328108,14108458,15556553,16211908,16727803,18515694,19300250,21141979,22428047,24389807,25333616,27491241,27714478,27093015,28163819,27500929,27448391,25269018,28246795,30624451,28797574
Partnerships reporting balance sheet data:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Number of partnerships,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,975330,976967,987504,1053139,1129580,1211006,1303970,1392405,1504978,1591450,1682072,1768302,1890134,2195814,2195814,2342664,2372838,2378615,2413306,2474044,2540028,2551456,2743876,2771012,2842119,2961807,3021683,2910458,3220547,3413850,3431910
   Number of partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13492850,13117383,12670748,13309111,13033369,13080094,12647463,11868041,10997133,11980809,11912262,11788129,12989001,14206709,14206709,15882790,16654321,18397525,19866051,21779003,22747559,24307025,23965867,23875553,25146808,24060789,24014222,21710460,24981177,27107788,25376338
Total assets,NaN,NaN,NaN,353696180,NaN,597503923,715232726,845281449,886992767,1030848519,1269434302,1403750213,1381296736,1580194209,1791027273,1685223450,1816567895,1907344453,2118268141,2295212222,2718647742,3368165845,4171498832,5126548007,5998952883,6694142838,8428217379,8866560101,9675052728,11607698140,13734256305,17146275372,20386133966,19259803843,18798108367,19820206570,20574459139,22014928866,24163126120,26128933308,27366266830,28950043266,32403619868,34348006740,36048324019,43182900507,50832008026,52530130780
      Cash,NaN,NaN,NaN,13884746,NaN,20372610,21039753,23347081,NaN,NaN,NaN,NaN,NaN,59815618,62785635,61612527,63382784,67798312,79601201,89468559,96230699,124321426,149169560,181853173,217624508,262730114,341943005,403493682,412617128,498678562,723469011,723469011,912437146,1123130066,968070198,1020462381,1136045788,1066981227,1166969742,1249156699,1284945654,1329101516,1400907077,1454101690,1399057722,1911042623,2285086251,2254617631
      Notes and accounts recievable,NaN,NaN,NaN,25299171,NaN,40360541,36362860,38254789,NaN,NaN,NaN,NaN,NaN,71326331,77224078,82481044,84807814,98327332,112166670,132697118,160689273,217826767,269234797,342827502,392065104,432129579,543298800,534791029,523616923,613117125,848375657,848375657,837186359,918064190,674500280,811630309,706205640,810689885,777826685,768151318,784715852,853409501,939568764,966687944,888406567,1112957979,1219033262,1337234157
             Less: Allowance for bad debts,NaN,NaN,NaN,232454,NaN,262071,354839,412656,NaN,NaN,NaN,NaN,NaN,1138288,1315991,1564754,1640205,2019847,2345802,2725168,3323099,3790817,5411782,6147687,7476510,9488129,11980083,12667511,11984877,12313591,17091120,17091120,17419682,22240072,22654804,29978138,19595995,27584783,19825973,21281732,25564542,28858693,42967760,28941621,31625964,38107724,42620429,41472424
      Inventories,NaN,NaN,NaN,17202990,NaN,33218272,59649950,100728688,NaN,NaN,NaN,NaN,NaN,51151852,59442619,56507062,56845071,61865690,71278725,76305276,88050194,136707577,147387132,175963423,174078288,149875359,208165141,202669386,213605408,275807149,445560371,445560371,338632126,430585792,277271147,277105259,285098559,304131610,313310248,330745639,343441047,367003652,378005853,411089286,391412768,438065984,462734368,521143032
      U.S. Government obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42603739,45380384,37638620,58152390,45119043,56441878,83417691,95751535,79242006,72847344,156329646,114419244,52257269,74315976,69840992,69840992,77865699,118037343,146948194,130252653,163157351,193755714,176195295,174879883,138258559,151887462,137978265,132135358,96606532,119581776,144473836,88426623
      Federal and State Government Obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13667028,15746202,22245841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Tax-exempt securities,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1976970,3704222,5228622,6501462,18721433,19627977,19983375,21061451,23306980,28122641,23148356,26282710,33497189,47407748,46846731,54270177,45092979,45092979,52863110,88748103,51105878,36599391,46928950,56401083,48250857,45364519,36788951,44752510,42341813,41510810,33657657,42715378,39480530,25848577
      Government obligations: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42783670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
             United States and instrumentalities,NaN,NaN,NaN,5974036,NaN,13441208,24344000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
             State and local,NaN,NaN,NaN,1174738,NaN,1346169,2629684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
                   Other current assets,NaN,NaN,NaN,14895523,NaN,46575129,53983710,48487294,NaN,NaN,NaN,NaN,NaN,96989881,118300619,117510203,138732750,150995078,196302585,209834317,258554045,333273684,423027007,698212296,825988164,835357482,1259500510,1354308431,1540760763,2028065591,2957652176,2957652176,3643002319,3141466326,2551973943,2219920404,2382402022,2207929564,2386425428,2465278938,2511974003,2675640972,2762361461,2855548669,2792928244,3241704992,3653951953,3942624036
                   Loans to partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49500324,69494272,73824730,94866511,115093324,137146937,147201470,129989963,101511168,172644759,196981777,229062307
            Mortgage and real estate loans,NaN,NaN,NaN,11477659,NaN,23485156,28971531,32137656,NaN,NaN,NaN,NaN,NaN,61413677,50921438,45769931,39771312,38464029,37429522,38306156,37381887,40960404,42842430,51286430,47926495,60382195,71183184,77220421,105845216,107160178,165839279,165839279,127405182,109137131,81703653,100375078,95100384,89930337,84019097,89098321,97901402,110474637,115341955,132486552,125842742,169153485,200720928,171101341
      Other investments,NaN,NaN,NaN,31812337,NaN,57155338,58274944,70120737,NaN,NaN,NaN,NaN,NaN,150886693,189697253,199254854,280296126,327952162,447707676,517651306,745837258,1023058296,1373216350,1582073494,1975875436,2275321707,2884204213,2969340381,3477856582,4316049463,7021223598,7021223598,8893076708,7123372146,8073679866,9057559534,9349721463,10517957476,11970487462,13151034753,13723024859,14311848711,16709376635,17907554550,19986005955,24023890930,29531354071,29859293129
      Buildings and other depreciable assets,NaN,NaN,NaN,219149769,NaN,330110060,367270152,430664015,NaN,NaN,NaN,NaN,NaN,933428499,1002296389,1032723957,1075230258,1109597775,1140428264,1181632157,1270121637,1376611687,1544813491,1750871004,1960773804,2189662764,2417039254,2659690570,2761437158,2948381100,3572315411,3572315411,3990833845,4526448207,4554850898,4775573906,4983712438,5313571562,5636702733,6060241038,6513921201,6997287084,7617420716,7944087250,7835528465,9127954607,9633716865,10369875732
            Less: Accumulated depreciation,NaN,NaN,NaN,60422032,NaN,90970237,102429260,119817639,NaN,NaN,NaN,NaN,NaN,311608789,332532823,351314177,378894808,408664245,442306350,469116271,503343604,528200362,564601996,597648505,646522376,702480746,770561813,868178729,915922515,959912624,1082192661,1082192661,1125912938,1272889684,1374133763,1512533614,1647115595,1743125198,1838216058,1967698084,2091368210,2246756528,2432309693,2564404399,2520327202,3040272162,3159939538,3401216734
      Depletable assets,NaN,NaN,NaN,4411376,NaN,7974663,10597413,15809178,NaN,NaN,NaN,NaN,NaN,28360075,27240020,25695829,26133917,26374352,26729112,26489677,35550034,35246433,37825356,43249827,44518863,53546562,56809127,62847340,62810645,72815224,92843826,92843826,93201386,129980778,134565534,177052752,212232528,245925143,302697788,349536576,347222594,366102090,400021507,416207378,410434853,396221241,353478982,390860457
            Less: Accumulated depletion,NaN,NaN,NaN,815906,NaN,1107296,1403223,2157991,NaN,NaN,NaN,NaN,NaN,6697886,7401730,6633705,7127061,7964561,8408111,8805962,14445818,13699088,14935070,18141129,14570019,15989910,17182017,19713300,20326268,24689867,24969983,24969983,21624723,30895497,34274792,44505081,46256590,59601862,69905389,87874908,129272256,130886395,141436358,135771076,151266590,167979636,137713026,142269785
      Land,NaN,NaN,NaN,46442485,NaN,70241248,76333446,87820308,NaN,NaN,NaN,NaN,NaN,200268647,213854531,214757035,212850061,212808128,206500951,208059762,221172841,232302952,256622698,291171287,326371562,358625577,392090094,423177429,454765198,509408430,730875334,730875334,820122518,884587282,891573347,912941355,922404080,957193458,1000611500,1069052409,1142884446,1199528952,1306637780,1358823350,1338869636,1529279674,1613903574,1797570132
      Intangible assets,NaN,NaN,NaN,3230969,NaN,6730513,10404353,12816999,NaN,NaN,NaN,NaN,NaN,62595734,68578844,70184397,70921015,83293245,90595009,97736822,112873973,132086686,153682870,192982429,239697452,308136685,353134969,363634755,392420373,437492109,592178961,592178961,659333106,743754908,722751237,726329039,800069987,882907597,935840649,1023340567,1163641233,1314823917,1481825645,1577528205,1546529981,1757012807,1992438781,2330939707
            Less: Accumulated amoritization,NaN,NaN,NaN,1061087,NaN,2169740,3520871,3857717,NaN,NaN,NaN,NaN,NaN,24326410,27575030,28196018,29884872,33512503,36888240,39531112,41818039,45233527,49381300,52179614,55309349,66673266,80702435,90657665,89028884,91567848,107111131,107111131,118876478,142044682,148129659,159624968,170548597,186608675,193878005,211538070,229817949,252973511,279136902,309756116,311614148,401108619,418278371,525423515
      Other assets,NaN,NaN,NaN,21271862,NaN,41002361,73079123,68557036,NaN,NaN,NaN,NaN,NaN,194061550,271788247,140485203,137311388,130147660,143116894,159429218,190014042,229190398,301282617,366299901,415521098,463876812,591448595,644776888,667475879,760620987,1112372673,1112372673,1224008286,1390561505,1248307210,1321046308,1325396402,1314980457,1411789331,1546578930,1638476661,1750510450,1860481640,2059128948,2116365632,2788142412,3263204211,3321916378
Total liabilities and capital,NaN,NaN,NaN,353696180,NaN,597503923,715232570,845281413,NaN,NaN,NaN,NaN,NaN,1580194209,1791027273,1685223450,1616567896,1907344453,2118268141,2295212222,2718647742,3368165845,4171498832,5126548007,5998952883,6694142838,8428217379,8866560101,9675052728,11607698140,17146275372,17146275372,20386133966,19259803843,18798108367,19820206570,20574459139,22014928866,24163126120,26128933308,27366266830,28950043266,32403619868,34348006740,36048324019,43182900507,50832008026,52530130780
       Accounts payable,NaN,NaN,NaN,20943025,NaN,33899048,29092451,37254748,NaN,NaN,NaN,NaN,NaN,48882276,51695075,62401908,63088121,79336897,79764998,81057259,90603965,121243113,159411026,190689535,243769049,229893243,361748491,346350802,275560392,336393755,505211961,505211961,430034492,513208421,444390050,492466297,504493070,509016113,533473648,537406923,529084246,582851973,618376583,621403829,566181478,741424108,755704686,844748488
"       Mortgages, notes, bonds payable in less than one year",NaN,NaN,NaN,27810649,NaN,48001839,55691914,73277805,NaN,NaN,NaN,NaN,NaN,86552615,86933328,87570916,116758131,114638421,131148176,125644085,123961301,125889105,126794298,229922243,231808501,252226751,289248638,282684863,273570095,296350178,455621208,455621208,564662688,581693016,432206038,480916174,393589703,326059271,306330841,328111955,351264544,407009913,432531915,452494680,449880826,484300026,493119176,482022713
