Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of returns,71140,90221,106048,123666,139112,157855,173410,181851,200784,217184,233807,257475,262068,287906,313080,333099,358413,391700,428204,468679,514907,545389,541489,564219,648267,701339,724749,826214,1127905,1257191,1422967,1575092,1698271,1785371,1901505,2023754,2153119,2304416,2452254,2588088,2725775,2860478,2986486,3154377,3341606,3518334,3684086,3872766,3989893,4049944,4094562,4127554,4158572,4205452,4257909,4380125,4487336,4592042,4725684,4874996,4940351,4892722,5120552,5266702
Total assets,7633413,9334835,NaN,12679545,14833675,16877964,19239447,21351389,24234096,26450189,31976473,33397424,34745158,40543020,48934906,53919325,55529316,62197040,71570536,79448133,85777842,87412922,91171986,110512890,142211607,180173410,207935175,250975543,443723257,584533143,687394399,744307752,769648961,808090676,870298964,943679740,1017592855,1100360936,1307473289,1455483439,1628692515,1790711766,1883045385,2016708482,2186582412,2437711147,2736981803,3048770219,3324336756,3367303575,3240100938,3324883416,3441159883,3593278237,3741797771,3990973368,4144561136,4340405858,4520485499,4504690021,4668546217,5036862574,5569733713,5952691882
    Cash,827924,900593,NaN,NaN,1534002,NaN,1889866,2284696,NaN,NaN,3143755,NaN,NaN,NaN,5047080,NaN,5510920,NaN,7149043,7551598,7798782,8020977,7876585,10721652,14064692,17804462,19811793,24405166,44333827,55565702,62981398,68969946,73244012,77366319,83607463,90239607,96692242,110477442,130898379,146742521,164614106,176557304,199927925,219453977,236100733,261118654,294920709,326696520,363586613,385242478,396962696,421344295,452305454,498722089,518976315,557577994,594538595,641189495,641747979,612908625,671766385,943843974,1088092571,1016642476
    Trade notes and accounts receivable,1993510,2360412,NaN,NaN,3634460,NaN,4775001,5045553,NaN,5661036,7202814,7006280,7261483,8309391,9691120,10166189,10382324,11193732,13108683,14486988,14514030,14916200,14841833,18089986,24154653,32228057,36789276,41833523,84436427,110878851,128113022,141144287,140780101,150367365,166085157,182512403,196952906,209440115,271562884,311096499,352382872,397415183,416602491,445062685,491576924,559765519,639360891,719297364,816670530,810822887,755218538,774957316,793726322,823352288,860344870,925647587,945621150,980777078,1049312728,1025695417,832865899,806983050,871157883,970988340
    Inventories,1788127,2070281,2411970,2656490,3152186,3411139,4059438,4372972,4800989,5288925,6470721,6534014,6936399,7824436,9652989,10917040,11460274,13040445,14720223,16632652,17465476,16328626,16159941,19358751,23783466,28925232,35792468,44173919,94372378,122007283,138706407,146150954,146298190,153561103,166773466,183409745,194348354,203470594,221503423,229247269,249639265,268989510,263793245,291142518,309619396,351216788,386285723,426401226,436143907,423887071,362959063,383829461,407741845,435703170,465204868,492525904,506901479,517752715,540180088,561798244,563438589,514484138,565561009,649246717
    Investments in government obligations ,86851,102150,NaN,NaN,168903,NaN,113596,175708,NaN,NaN,372949,NaN,NaN,NaN,197872,NaN,288940,NaN,382031,398325,355256,281858,414168,830832,1339156,1647468,2215857,2618685,4924700,5002356,3815981,5160436,5994914,5252913,5221011,6520923,6669174,6698650,17654810,26450601,27592243,27814809,30077903,36265246,44166897,48558220,52277991,52929790,59136727,54708426,55130510,57703348,63924139,66122317,68030331,68873439,64128675,60587634,61294434,55161644,52129613,56421641,78146326,83934327
    Tax-exempt securities (1989-2019),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1615220,2087262,2657278,3301498,3378405,3882530,3541580,3544316,5942443,8136420,9273383,10358782,11545639,13478592,16792093,18057140,20930607,22692832,25044120,25175935,27032160,30028255,32970733,37267839,39778219,40903540,43115127,43443702,42800465,38088954,35893555,45534474,NaN,51792628
    Other current assets,112809,148865,NaN,NaN,377121,NaN,836482,961775,NaN,NaN,1547108,NaN,NaN,NaN,3073931,NaN,2944915,NaN,4359562,4633818,5687069,5117615,5395752,7820911,9771556,9979416,12271396,15665361,26002752,34527017,40581306,41255849,42701618,44285834,47428761,51418135,54630365,61737398,72643744,83359809,91013444,103383569,112074809,120520788,133657273,149147414,182574093,208937184,224033365,212605878,195613580,191679559,197536151,199981482,207218088,220786864,242476682,252106276,267578125,276690078,298675746,323708742,385523879,432862509
    Loans to shareholders,29660,52384,NaN,NaN,140610,NaN,210651,260089,NaN,NaN,499319,NaN,NaN,NaN,738259,NaN,942040,NaN,1319047,1376178,1433513,1808491,2013178,2526340,3154100,3736541,4441548,5080325,8214204,10470786,12587169,13576468,14406925,14878249,17071620,17582699,19545365,21793262,24213260,26586863,28446188,31533970,34445125,36473333,40927873,43204927,49536428,54678831,58342252,63736200,62092104,63966409,64884513,65505986,67651004,70498374,73846039,75763836,81715813,86461813,88162768,99326997,109174544,121414611
    Mortgage and real estate loans (1959-60 & 1966-2019),72581,85443,NaN,NaN,NaN,NaN,NaN,119547,NaN,NaN,267887,NaN,NaN,NaN,501636,NaN,629926,NaN,829555,1214268,1299666,1439449,1310850,1686786,2613626,3550380,4864295,5786865,7066408,8323953,9705011,9903162,10096934,10892649,12272233,11124662,11359087,13090954,24464235,25094935,27336546,27843577,32898134,45304471,50323933,64651042,68876939,64550717,59640474,56780143,58969657,64721505,67480847,80095815,74588500,88206064,86249057,99868068,98009682,78871965,284356374,344399118,345236716,349880951
