"Variable","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"ADJUSTED GDI",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.9999984213020063,NaN,1.0,1.0000013498763554,1.0,1.0000011622589322,1.0,0.9999989987693805,1.0000000000000002,1.0,0.9999999999999998,NaN,1.0,1.0,NaN,1.0,NaN,1.0,0.9999999999999999,1.0000003253743812,1.0,0.9999999999999999,1.0,0.9999997619814186,1.0,1.0,1.0,1.0,1.0,0.9999998469721711,0.9999999999999998,1.0000001404915495,1.0,1.0,1.0000001190303691,1.0,1.0,1.0000001016544062,0.999999903590495,0.9999999999999999,1.0,1.0,1.0,0.9999999238774614,1.0,0.9999999331395114,1.0,0.9999999398257727,1.0,1.0,1.0,0.9999999441454429,1.0000000000000002,1.000000051821186,1.0000000000000002,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.000000033919322
"  NIPA GDI",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8556259958300951,0.8583223122712921,NaN,0.8598013821973708,0.8624603012574426,0.8616216303175801,0.8618696242297711,0.8569296010969726,0.8576541486758797,0.8590409707885175,0.8599932883923662,0.8550975684232176,NaN,0.8552503389366245,0.8558696362170134,NaN,0.8471936132172994,NaN,0.847277262973975,0.8469287563517389,0.840224350848088,0.8410979761899086,0.8506669359343397,0.8576567061226725,0.8514369748892167,0.8595623070729108,0.8570742623992462,0.8498714252326648,0.8546470895949765,0.8623171720153985,0.8529390149487712,0.8499477941675121,0.852139973105501,0.8509716935883322,0.8467486080595394,0.8508278887060781,0.8571654827642259,0.862991404677974,0.8709035907956367,0.8791791985944042,0.8789279904168268,0.8856897898498541,0.8845927985188221,0.8785702229543608,0.8739356898214955,0.8733817312078643,0.8756178621875269,0.8846459658527395,0.8702356435010783,0.8589671201249648,0.8550859830495291,0.8650243207283145,0.8726730524110013,0.8804793270507889,0.8763206622603151,0.8843206675731463,0.8826919500356438,0.8773106058221225,0.8780025489575809,0.8818968364381211,0.8841087364679828,0.8787462014524146,0.8820452464114743,0.8837683480112039
"      +NIPA statistical desc.",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0003281693095958973,-0.002066515673937577,NaN,-4.1285203739581116e-5,-0.001980268613413096,-6.293711051099182e-5,0.0008635583864579317,0.005386467338551956,0.0033621324203287465,0.0028707452672699883,0.001339888286515696,0.004274026602223047,NaN,0.004819067504722136,0.003705146899814358,NaN,0.006762603567060026,NaN,0.007989732343109684,0.008484659984995027,0.014642823271384072,0.013236728633831428,0.010118868081637353,0.0022238985381874024,0.01353135634856438,0.008909899040306188,0.010815571847055734,0.015080845801225928,0.007745200949742175,0.0004651319167725311,0.010379571585803753,0.01381214830881668,0.013025252536025914,0.015347158291390411,0.01963413446924477,0.01657462181937234,0.0104659779918737,0.006139374699847097,0.001042465935422026,-0.005437592501628483,-0.0026672206380319186,-0.008197584095995985,-0.009651538325607173,-0.00651659947268782,-0.0018417086986801403,-0.0020041291994361736,-0.0038108472661560863,-0.013232562157388158,0.0007397819503936477,0.011265105275557269,0.011475087695283876,0.004010247984681077,-0.0013569864648410902,-0.00824481542665841,-0.001543597666011077,-0.007022119959569688,-0.0044630495091940395,0.0024753422004092297,0.003050425654635015,0.002716812937690047,0.0023473822101281595,0.004985462715336111,0.0014085724987344024,-1.346597092952588e-5
"      +FA durable depreciation",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0572327275935245,0.058935953506063884,NaN,0.055736448676149665,0.05535842933610842,0.05463822311901243,0.053234945861282155,0.051969179663549296,0.05290502593513132,0.053634281351542135,0.05445041912290254,0.05552231185922722,NaN,0.05444598200919011,0.05364321812812282,NaN,0.05634151431703724,NaN,0.05628307954576443,0.05616535715597801,0.056156364429219764,0.05761280905375669,0.05579039258835699,0.0551605527682396,0.05222865531964521,0.05092277353878977,0.05228026446923543,0.054386272848206775,0.05585532349633813,0.05566984812171526,0.055641989821303084,0.05606540099902759,0.0571851183369342,0.0558075342893765,0.0559022702697007,0.05556397149232733,0.05582914897544572,0.05512313801031985,0.05396446137591493,0.05341327610706761,0.052868578269680985,0.05331969265617453,0.054239859446043266,0.054713742598492404,0.05442411345607014,0.05394380598512281,0.05349962340589125,0.053057785621822305,0.05294405319066612,0.05367868768276891,0.05513392984827218,0.05283762303646693,0.05202215252284353,0.05102720834268251,0.050146273402757346,0.04889431278873047,0.048327933330957765,0.0480975425074394,0.04818344582534702,0.04772379129998778,0.047863402700078425,0.05037501939788316,0.05065673987167606,0.05235715350485296
"      +Misreported S corp inc",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00040717819197542754,0.00045607961263828317,NaN,0.0006123758922591043,0.0006749791349381271,0.0007474964169826997,0.0008359824609512037,0.0008900508897569069,0.0009334803960240678,0.0009578862774876944,0.0010205651802461726,0.0009861395505683383,NaN,0.0009652814742482725,0.0010311016806713133,NaN,0.0009022239516091667,NaN,0.0009793641515830679,0.0009836352092126345,0.0007546079471438058,0.0006254453058865396,0.00045666488312622966,0.00048598013636550835,0.00066904663344481,0.0007542569286136889,0.0007516213001819267,0.0008929986573288179,0.0022848231289872936,0.0028942945581541544,0.0029240116995571516,0.0030428924722353087,0.002904740559706684,0.0035536412671099953,0.0037603789743361786,0.004096783194133425,0.0041241942008698185,0.004534710347670507,0.004909006778848581,0.005155321634339481,0.005361587748054897,0.005285425023048507,0.005187483779733505,0.005300128475713283,0.005553163389782735,0.00612422697148087,0.00696068071919305,0.007038953122868312,0.006758841502768206,0.006093224043946928,0.005781236134689041,0.006220484451803235,0.006468110710533044,0.0073672452182034845,0.007222529690899428,0.007483203625454972,0.007691312410184257,0.00784456480054421,0.007624859292841435,0.007311638168680959,0.007265911624828166,0.0077744354254997835,0.008953944377479551,0.00828875057289136
"      +Imputed Kcd services",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011828272059626848,0.011708824132798522,NaN,0.011087725151627722,0.011060562886052956,0.010845222183877293,0.010593664732457387,0.010580713803688,0.010890265300781818,0.011070979185270419,0.011163004594703136,0.011345851195382015,NaN,0.011014073926182519,0.010952182664170003,NaN,0.011717778044956688,NaN,0.01158718245751569,0.011568936651231855,0.01165589946811818,0.011850792016874553,0.011388735028934949,0.011339866429522245,0.011187749230851163,0.010923261331423654,0.011018233805101245,0.011501271593153761,0.011741955548219522,0.011865236743824637,0.011786711442417143,0.011814189297637745,0.011899336399452268,0.011657345893203894,0.011632927186141628,0.011541832122408663,0.0114899348629342,0.011316633044413688,0.011051708459504964,0.010928067545038021,0.010885393614234965,0.01096294640624851,0.01112676103446936,0.011254428208644656,0.011197932961849686,0.011121441366165176,0.010981888733511417,0.010844451530287727,0.010770678815747649,0.010761631458813788,0.010917572726300426,0.01047648513500871,0.01037700368284837,0.0101475179777799,0.00990268454313004,0.0096692608869141,0.009582741852719177,0.009612851946114047,0.009465719415439293,0.009372841900333889,0.009335934827563504,0.009959306217483975,0.010420123954695921,0.010364815487303877
"      +Imputed Kg services",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025797783230505,0.02585730499735882,NaN,0.026325268147832318,0.026383063391572103,0.02595763081008824,0.025627576998277394,0.025338892227648447,0.02597552670042909,0.02589109854461443,0.026437020065302557,0.027847693358457423,NaN,0.027637577392492584,0.028062772970373896,NaN,0.0302161621810461,NaN,0.027595733581923673,0.026876289062283256,0.027267518451656567,0.028627620485330723,0.028228872008282734,0.028658193422345817,0.027308233624141445,0.026039068633396775,0.02511369702227513,0.02505429218201654,0.02485003630099487,0.02432331154896734,0.02380691886744446,0.023645129020847633,0.02367295534076171,0.023324789475180584,0.023130837012146164,0.0229619818789961,0.022925743189224808,0.022530147589476166,0.02221871334650439,0.021963003098377405,0.021885744474361805,0.02170491542626895,0.0218351349518848,0.022012196904349714,0.021910304609237236,0.02274994689120204,0.023295566189706164,0.02423721326949893,0.02491725694526953,0.02600758024625471,0.026544204938135866,0.02659653979561057,0.0270995899779046,0.02686645452360943,0.026835418735691813,0.02640108842690703,0.025811500290112577,0.025895055871529935,0.02588923773496914,0.025966487810951223,0.0258298466484796,0.026881922888433,0.027025872572968058,0.027199675210134305
"      +Imputed private IPP inv",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10271449981676292,0.10275088503544177,NaN,0.10317121163923575,0.10325744193212089,0.1033870431848483,0.10352784244287563,0.10347792821226294,0.10332207387921935,0.10342940592669449,0.10335998120146582,0.1031245914030529,NaN,0.10320832877296159,0.10314897397401933,NaN,0.10247474601412312,NaN,0.10263203943805015,0.10264960996040809,0.10258402184941091,0.1025201645788488,0.10329429648191725,0.1031856725593032,0.10379622831076349,0.10421666473358604,0.10414678010955625,0.1037942725240669,0.10348707486536625,0.10353387647186053,0.10359824874748848,0.10365119309715945,0.1038198102179973,0.10395826222556673,0.10396592910345409,0.10408828697940975,0.10411577529073195,0.10429569352533852,0.10463351460919829,0.10484900430027369,0.10515129237345539,0.10529906469046296,0.1049929512231858,0.10464643481780077,0.10465128686944249,0.10456531224101137,0.10461684981382313,0.10456960844344215,0.1045170582750839,0.10442786704806264,0.10398732848937756,0.10428414824555945,0.10455793461608609,0.10466814139489564,0.10497324153277417,0.10527582571362917,0.10538746806317398,0.1055743137627038,0.10572635695346588,0.10615363792509733,0.10637473424137331,0.10604779970013008,0.10601445826922505,0.10605058177451425
"      -NIPA private IPP inv",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010878812613103996,0.011275061072010829,NaN,0.011957049179611785,0.012476907153222389,0.012345743597836155,0.012941753207549218,0.013571650239744564,0.014020232365057604,0.014277674035940302,0.014517854636966025,0.014369793074203262,NaN,0.013835907917492313,0.013677805474396069,NaN,0.014095388428652208,NaN,0.014714533285333174,0.014680553383683998,0.01564009574936981,0.016251844322640013,0.017385396346204143,0.018688668173477255,0.0193611454610602,0.02044439282483216,0.021067682644156663,0.021444801057115968,0.02133522663179065,0.021860046732511084,0.022972078606860027,0.02381706567904663,0.025166110768032032,0.024934249459530468,0.024874198588483085,0.02448514209537,0.025762800484814413,0.027269925291447374,0.029272809422512758,0.030670370244730814,0.03321988913571703,0.03521104834190875,0.03431658071326995,0.03241320033052763,0.03186915751651785,0.031226941954088976,0.031633970391871394,0.031936726196779,0.03278460390996179,0.033842392471537884,0.03377848759223992,0.033387646011995946,0.03472662135192613,0.03518625413737922,0.03599494394244564,0.036942160404019445,0.03738908649469786,0.03943999702017395,0.04071214467630355,0.042491613849243465,0.044235884599975926,0.0469748780948135,0.04703127056939266,0.048290599880747354
"      -NIPA sales tax",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04305581341898173,0.04469136150763855,NaN,0.04473607732112403,0.04473625229524432,0.044788565324042205,0.04361027964559155,0.041001182992685584,0.04102342217335608,0.04261769330545625,0.04324631220653598,0.04382838931792569,NaN,0.043504742098929385,0.04273522705978914,NaN,0.041513252864479704,NaN,0.039629861206588464,0.03897669099216365,0.037645165141270455,0.03931969194179734,0.042559368660391124,0.04002220180315911,0.04079733691414826,0.04088383845419497,0.040132748308495274,0.039136577781547825,0.039276277252834293,0.03920882464418196,0.03810454153375417,0.03816168168418978,0.03948093523679785,0.03968617557062974,0.039900886486079944,0.04117010506698661,0.04035345679049146,0.03966117660359252,0.03945055022411088,0.03938000494264605,0.03919347712286609,0.03885320161415266,0.038006869915261726,0.03756735415614621,0.03796170101521851,0.038655393509321435,0.039527720252112916,0.039224689486491736,0.03809877044527285,0.037358823408831274,0.0351468552893481,0.03606220336544839,0.03711429195900689,0.037124824943921976,0.03786221673592525,0.03808007865119279,0.03764076997889977,0.03737027989068929,0.037230449157975326,0.0386504326316188,0.03889006412045792,0.03779526970236739,0.03949368738686093,0.03972522478990168
