Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Number of returns, total ",1.07412e6,1.140574e6,1.190286e6,1.268042e6,1.323187e6,1.373517e6,1.42398e6,1.468725e6,1.53436e6,1.54167e6,1.65882e6,1.665477e6,1.733332e6,1.81276e6,1.90467e6,1.965894e6,2.023647e6,2.0822e6,2.241887e6,2.378779e6,2.556794e6,2.710535e6,2.81242e6,2.925933e6,2.999071e6,3.170743e6,3.277219e6,3.428515e6,3.612133e6,3.562789e6,3.627863e6,3.71665e6,3.802788e6,3.869023e6,3.964629e6,4.342368e6,4.474167e6,4.63137e6,4.710083e6,4.848888e6,4.935904e6,5.045274e6,5.135591e6,5.266607e6,5.401237e6,5.557965e6,5.671257e6,5.840799e6,5.868849e6,5.847221e6,5.824545e6,5.813725e6,5.823126e6,5.840821e6,5.887804e6,6.001491e6,6.119565e6,6.188676e6,6.325114e6,6.442134e6,6.473747e6,6.40213e6,6.690732e6,6.845719e6
    Number with net income ,670581.0,670239.0,715589.0,783195.0,808045.0,856515.0,915311.0,939846.0,988906.0,999328.0,1.04552e6,1.008337e6,1.06394e6,1.140182e6,1.203356e6,1.207396e6,1.226208e6,1.273535e6,1.424528e6,1.523648e6,1.586485e6,1.596632e6,1.597298e6,1.608357e6,1.676288e6,1.77777e6,1.82012e6,1.907738e6,1.995452e6,1.908799e6,1.921805e6,1.91067e6,1.94245e6,2.063593e6,2.144534e6,2.392357e6,2.455492e6,2.588424e6,2.647474e6,2.760814e6,2.812175e6,2.819153e6,2.822302e6,2.800517e6,2.932115e6,3.116468e6,3.32426e6,3.367313e6,3.36772e6,3.183821e6,3.148768e6,3.264726e6,3.384712e6,3.548701e6,3.580938e6,3.725161e6,3.800502e6,3.881041e6,3.935907e6,4.017829e6,4.00728e6,3.647531e6,4.092595e6,4.231157e6
    Consolidated returns ,4060.0,4534.0,4553.0,4847.0,5822.0,7450.0,8957.0,9759.0,10765.0,14330.0,17155.0,19871.0,23622.0,28207.0,31490.0,34678.0,38307.0,41401.0,46663.0,48954.0,53197.0,57890.0,62490.0,73029.0,73645.0,80256.0,79598.0,81956.0,80070.0,74247.0,74243.0,71769.0,69120.0,66479.0,64080.0,66907.0,65617.0,66146.0,63956.0,60812.0,57144.0,56603.0,56507.0,52743.0,49900.0,48066.0,46328.0,44648.0,43348.0,42285.0,39295.0,38009.0,37152.0,35623.0,35185.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
    S corporation returns ,71140.0,90221.0,106048.0,123666.0,139112.0,157855.0,173410.0,181851.0,200784.0,217184.0,233807.0,257475.0,262068.0,287906.0,313080.0,333099.0,358413.0,391700.0,428204.0,468679.0,514907.0,545389.0,541489.0,564219.0,648267.0,701339.0,724749.0,826214.0,1.127905e6,1.257191e6,1.422967e6,1.575092e6,1.698271e6,1.785371e6,1.901505e6,2.023754e6,2.153119e6,2.304416e6,2.452254e6,2.588088e6,2.725775e6,2.860478e6,2.986486e6,3.154377e6,3.341606e6,3.518334e6,3.684086e6,3.872766e6,3.989893e6,4.049944e6,4.094562e6,4.127554e6,4.158572e6,4.205452e6,4.257909e6,4.380125e6,4.487336e6,4.592042e6,4.725684e6,4.874996e6,4.940351e6,4.892722e6,5.120552e6,5.266702e6
Total assets [ = sum(l.7:l.20) - sum(l.21:l.24)  ],2.1789687398160464,2.224745865460137,2.2936596016783795,2.298519588622372,2.323689457996706,2.316597871314613,2.3219047864106837,2.2679416041523752,2.337836211958942,2.3554163329438866,2.4032939313984167,2.4547649303132477,2.4803377842640684,2.5461698634206598,2.559970017735671,2.5992461638719604,2.544095255872145,2.519968202402888,2.558517993818888,2.557601022963524,2.601519092935688,2.6658802862275564,2.6651239793940893,2.798557206809401,2.807093416194327,2.750808942808536,2.9438017303148967,3.0926530748874748,3.1534372014421606,3.1640721847561264,3.128045740023185,3.0504139442213707,3.0901445616030454,3.0676519708290706,3.180824043796955,3.217434784327007,3.405044982629665,3.5478546127508044,3.8507084685700534,4.12094307829453,4.305203235286422,4.5875614161494465,4.645128898710245,4.612773699555353,4.682496295362001,4.920749354516372,5.095822218730187,5.289725912037154,5.629754193177004,5.199719801376614,5.246903430478668,5.30964855517364,5.210339519422513,5.226540685998559,5.225719091105496,5.444314033090835,5.304637585180972,5.423635833890856,5.501144140490397,5.252821918275085,5.331480778396194,5.825093012812323,5.982050224556593,5.501175338847853
    Cash ,0.17608595160777066,0.17913910122386068,0.1813641403819576,NaN,0.17064105420032943,0.16617792420302135,0.157701437041368,0.15521565647997207,0.16277971507943984,0.15977803457392806,0.1597997425352417,0.16484121725179188,0.16854965789586643,0.17830501989664688,0.1815040866409986,0.1818631406193071,0.17236972492201336,0.16790145680715188,0.17366961696126382,0.17560317213946766,0.17574882209449658,0.18510952690767915,0.16634404362151903,0.16176367587787388,0.16246027614460828,0.14755581131723125,0.1574573797199756,0.1665957100037099,0.15530564496113972,0.14987591164069927,0.146006193654969,0.12930870695056165,0.12775556000856753,0.12366839883950606,0.11840345851074548,0.1170644289549563,0.12593126567378066,0.13590488859204655,0.1514794280466035,0.14746237102658036,0.16576648096410282,0.17752385183346875,0.182014005574976,0.17599010596290202,0.18500982660422732,0.2234938622577554,0.21653327087549948,0.21003166330367673,0.25045667354417794,0.29685140213226097,0.335179245129892,0.25867015332809135,0.26900468956774387,0.2709413817055156,0.28857022260295984,0.3168067958122545,0.28995827995587214,0.2857735006803807,0.28608518123146615,0.2558266149528798,0.27370889906036133,0.38220021542640775,0.3856558580388436,0.3212988870224675
    Notes and accounts receivable ,0.4460444911761436,0.4563446150499095,0.4719837017906152,NaN,0.5323816346380108,0.5213859728837331,0.546303437071006,0.5265341904614378,0.5394482178801547,0.5484640881687257,0.5704155707217367,0.5726876445887135,0.5757903566982874,0.6140255560506915,0.642266839065622,0.6665063973756878,0.6240965693000907,0.6241575777244941,0.6426581832487441,0.6758510770756408,0.6905085678138249,0.69457072341194,0.6984110773763105,0.7238720499409502,0.7367473763345348,0.717498407103405,0.7646119492627182,0.7846764662917165,0.775090342446215,0.7828121904622952,0.7437632120788857,0.7039937707357059,0.680617750293961,0.639382906562815,0.6608327345438014,0.6542498657927368,0.6946001214176015,0.7163248863326975,0.7731743097564433,0.7791779828501447,0.8041555695402387,0.8540109607380856,0.8274053070097144,0.8130218602469662,0.7851817887740093,0.8750664922622179,0.917395494676551,0.9851817926177998,1.0580749205415307,0.9380285554462188,0.8664472814637479,0.8450975962409656,0.8390553860156059,0.8007811565420633,0.7531691551224556,0.8002136989726001,0.7517175510995643,0.8030809718715529,0.8341225749794693,0.7619007640010542,0.6954513577123695,0.6915053374035176,0.6603502049786212,0.6662391989380461
    Inventories,0.16927689618022673,0.16839503523347013,0.16865313433260584,0.16612572815694743,0.16682016628755197,0.16503583847120357,0.17020407415440617,0.17336692754243227,0.17626502426278462,0.17480721117608974,0.18138772325486555,0.17739784757892224,0.17091615401124607,0.1750025564650421,0.18420840676425027,0.201972717559633,0.18856774332543574,0.18716884646836895,0.19023330432034186,0.18823482234853817,0.19146147975913216,0.18717153844511633,0.18341516556851004,0.17382719274451827,0.1649529151869078,0.16451380060446605,0.16472145359541956,0.15996649468046661,0.17080040368964094,0.16151889624206378,0.15586387288667358,0.14985151138392766,0.14353599591694166,0.1403937184438756,0.13811760721166064,0.15448465344061862,0.13678591822846536,0.13370245872662398,0.12991016364575814,0.12570157612142008,0.1244069595060705,0.1240828601089928,0.11417643645123682,0.11173030315008324,0.1106179915244251,0.11345714982390395,0.11545589778266253,0.11675207394432793,0.11438920611171802,0.10963344004161989,0.10180660201392908,0.10260403990412367,0.10593376270823114,0.10767091928925672,0.1087405323587914,0.11043754342452336,0.10883203564861015,0.10636131525841146,0.10606619137510094,0.10772492520035809,0.10475936994747721,0.09994838570777151,0.1058778270516987,0.11183683611662794
    Investments in Government obligations ,0.2574371594965245,0.24923447865157766,0.2574835265888664,NaN,0.23617937877480585,0.2269453598457178,0.21139489066926764,0.19371869429343483,0.20138228799279967,0.1970909232010597,0.17514974327225916,0.18319653443622164,0.19120707301369275,0.1873411254700534,0.17508797818961452,0.16585956836562277,0.18762594129991975,0.19063363851624737,0.18279185196073064,0.1716399705051754,0.16022546742266777,0.16521141655411897,0.16053355632185556,0.18108608587443764,0.18853579076498375,0.17973386775800454,0.21123635260737605,0.23117994855917431,0.22498920748102813,0.209063757080672,0.16448246342336723,0.15448112874684897,0.17352094296822948,0.19146338090098855,0.18809217767172376,0.1796180851011275,0.17846849471101733,0.16584557510712708,0.1566291521170609,0.15068736177724873,0.139181833218221,0.12059658868756774,0.13154837875022599,0.13973135044506835,0.14457593303335675,0.12861457457177572,0.12373258491301266,0.12403858534236303,0.12334063854735465,0.1484772426445149,0.17271296934873973,0.18143898848632242,0.18327628865675386,0.1846715412296196,0.1752058605685564,0.1838498567537351,0.18859667956617043,0.21841812743297456,0.22067663027655068,0.21875350146171793,0.210629159439409,0.2962269411101543,0.27856259654900845,0.24979831123193766
    Tax-exempt securities (1989+),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05916655068261019,0.06377852086080765,0.07619930777676141,0.09441578298143637,0.10222279111399347,0.09764880141112488,0.10992290348805962,0.10544359418822111,0.109442635497867,0.10577875190462303,0.09937521518668756,0.0949490170278819,0.09992488808042466,0.1100818683464378,0.11323566925181884,0.11182797141013372,0.1125850818880948,0.10988920033269678,0.11873669752887685,0.10965331321308215,0.12002243103309303,0.1175619650007964,0.11327979717856691,0.11486167404024986,0.11073919461671071,0.10791142232074737,0.10745028294313332,0.10431609888330778,0.10182098262593169,0.09383375202284838,0.08369544589220176,0.08605098496716838,0.08809262378325226,0.0742092787480943
