Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of partnerships,1.073094e6,NaN,NaN,1.234157e6,NaN,1.379654e6,1.460502e6,1.514212e6,1.541539e6,1.643581e6,1.713603e6,1.702952e6,1.648032e6,1.654245e6,1.635164e6,1.553529e6,1.515345e6,1.484752e6,1.467567e6,1.493963e6,1.5809e6,1.654256e6,1.758627e6,1.855348e6,1.936919e6,2.0575e6,2.132117e6,2.242169e6,2.375375e6,2.546877e6,2.763625e6,2.947116e6,3.096334e6,3.146006e6,3.168728e6,3.248481e6,3.285177e6,3.388561e6,3.460699e6,3.611255e6,3.715187e6,3.763117e6,3.905335e6,4.0102e6,3.82147e6,4.28069e6,4.467584e6,4.500186e6
   Number of partners,NaN,NaN,NaN,6.121455e6,NaN,8.419899e6,1.2225123e7,9.764667e6,1.0589338e7,1.2426721e7,1.3244824e7,1.522853e7,1.6963258e7,1.7291178e7,1.8431918e7,1.7094966e7,1.5801047e7,1.5734691e7,1.5626848e7,1.4989505e7,1.5605686e7,1.5662298e7,1.6183715e7,1.5663372e7,1.5924404e7,1.3659967e7,1.4231604e7,1.4328108e7,1.4108458e7,1.5556553e7,1.6211908e7,1.6727803e7,1.8515694e7,1.930025e7,2.1141979e7,2.2428047e7,2.4389807e7,2.5333616e7,2.7491241e7,2.7714478e7,2.7093015e7,2.8163819e7,2.7500929e7,2.7448391e7,2.5269018e7,2.8246795e7,3.0624451e7,2.8797574e7
Partnerships reporting balance sheet data:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Number of partnerships,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,975330.0,976967.0,987504.0,1.053139e6,1.12958e6,1.211006e6,1.30397e6,1.392405e6,1.504978e6,1.59145e6,1.682072e6,1.768302e6,1.890134e6,2.195814e6,2.195814e6,2.342664e6,2.372838e6,2.378615e6,2.413306e6,2.474044e6,2.540028e6,2.551456e6,2.743876e6,2.771012e6,2.842119e6,2.961807e6,3.021683e6,2.910458e6,3.220547e6,3.41385e6,3.43191e6
   Number of partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.349285e7,1.3117383e7,1.2670748e7,1.3309111e7,1.3033369e7,1.3080094e7,1.2647463e7,1.1868041e7,1.0997133e7,1.1980809e7,1.1912262e7,1.1788129e7,1.2989001e7,1.4206709e7,1.4206709e7,1.588279e7,1.6654321e7,1.8397525e7,1.9866051e7,2.1779003e7,2.2747559e7,2.4307025e7,2.3965867e7,2.3875553e7,2.5146808e7,2.4060789e7,2.4014222e7,2.171046e7,2.4981177e7,2.7107788e7,2.5376338e7
Total assets,NaN,NaN,NaN,0.1504066722260045,NaN,0.20911435943005074,0.22301951425005168,0.2527915035906871,0.2440791117209011,0.2553113730810754,0.29256520992611396,0.30652037533154963,0.2844975425393108,0.301768914097713,0.3174690907511725,0.28260653272837283,0.2949869830593026,0.29252282178485833,0.30885031987039846,0.31496334440108703,0.35585563635663947,0.4172073511337993,0.4863274314163295,0.5656682692588849,0.6228684196482006,0.6530264543234618,0.7964726827216474,0.8112793927006668,0.8445070443287406,0.9501114772980641,1.05330537647372,1.2410822888907402,1.4084436120530919,1.3039934863981804,1.298385231053289,1.317047296456349,1.3188982438288042,1.3544339546584618,1.4314068998274536,1.4839123425770515,1.4958315610385537,1.5394936028685695,1.6522257465314019,1.6628170374907365,1.6735540456347642,2.0202260970042922,2.142492144091341,2.016154635029327
      Cash,NaN,NaN,NaN,0.005904385058847193,NaN,0.00713000388127702,0.0065604876894308495,0.006982223160612108,NaN,NaN,NaN,NaN,NaN,0.011422959271168683,0.01112908706426214,0.010332221895027187,0.010292539178701843,0.010397992616014503,0.011606111575332369,0.012277433995550577,0.012596055053641161,0.015399423667820206,0.01739069142338047,0.020065855130915695,0.02259584897871204,0.025629825795691952,0.03231386309622754,0.03691917785056201,0.036016141824037985,0.040817759001328946,0.05548416907881674,0.052366158634058364,0.06303874348255396,0.0760420148813848,0.06686460271250298,0.0678094456424961,0.07282469903970146,0.0656443457813691,0.06913048139106694,0.07094200982522968,0.07023472640285315,0.07067841877279624,0.07143074602610164,0.07039433416554854,0.06495166625487431,0.08940432750334369,0.09631292430616745,0.08653429411773285
      Notes and accounts recievable,NaN,NaN,NaN,0.010758284469418468,NaN,0.014125377847042687,0.011338445626357755,0.011440551123291572,NaN,NaN,NaN,NaN,NaN,0.013621154494715683,0.013688377723970944,0.013831804833155128,0.013771685198540011,0.015080122822060919,0.016354261879208156,0.01820952662984978,0.02103331837210882,0.0269817261525343,0.031388302513351125,0.0378279184055024,0.0407079329493856,0.04215506803660772,0.05134213242216991,0.04893272433578294,0.045704989154581044,0.05018476620985699,0.06506348949248945,0.06140715574579806,0.0578397935281937,0.06215793959347758,0.04658773025432193,0.05393261167158871,0.04527037002943384,0.0498764231138608,0.046077915508513485,0.04362478974210675,0.04289232233101261,0.04538226265657278,0.047907601337174366,0.0467982085652779,0.041244536183920676,0.052067525053822686,0.05138040554851091,0.05132427434925729
             Less: Allowance for bad debts,NaN,NaN,NaN,9.884933613256342e-5,NaN,9.17195807100882e-5,0.00011064373670308549,0.0001234097007915272,NaN,NaN,NaN,NaN,NaN,0.0002173783018150888,0.00023326638991204591,0.0002624041948341345,0.00026634794431880203,0.0003097769483033596,0.0003420254896108643,0.0003739645594022205,0.0004349748924997405,0.00046956022713393904,0.0006309238346791718,0.0006783417341429271,0.0007762824711260478,0.0009255851554080051,0.001132126571629804,0.0011590617459357158,0.0010461248467020761,0.0010078901083358243,0.0013107494272845176,0.001237090030873109,0.001203496448998869,0.0015057738521862968,0.0015647671750655663,0.00199203905702257,0.0012561751060851559,0.0016971104905447716,0.001174476945038302,0.0012086304639366183,0.0013973498469720092,0.0015346358156509419,0.0021908798965047196,0.001401089176897014,0.001468244680984413,0.0017827940601108355,0.0017963865260565098,0.001591749699304699
      Inventories,NaN,NaN,NaN,0.007315443661950869,NaN,0.011625727301966503,0.018599684257232758,0.030124116085075942,NaN,NaN,NaN,NaN,NaN,0.00976844412174841,0.01053651973383343,0.009476051894772288,0.00923089967748321,0.009488126899157052,0.010392667760093628,0.010471086156671748,0.011525273147062816,0.01693366915550143,0.017182889943424418,0.019415974415019084,0.018074465703654757,0.014620628308473204,0.019671757483914323,0.018544000663183124,0.018644991074896675,0.022575323257480684,0.03417084433957091,0.03225056597322024,0.023395522441680482,0.029153000346245617,0.019151116443928598,0.018413568542327577,0.018275862623793795,0.018711220089615028,0.018560282661548706,0.018783680534534657,0.018772379902967033,0.019516370642076356,0.019274112127297727,0.0199011917595397,0.018171452882365453,0.020494045622137084,0.0195035527169019,0.020001947908343604
