Tax year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of returns,71140.0,90221.0,106048.0,123666.0,139112.0,157855.0,173410.0,181851.0,200784.0,217184.0,233807.0,257475.0,262068.0,287906.0,313080.0,333099.0,358413.0,391700.0,428204.0,468679.0,514907.0,545389.0,541489.0,564219.0,648267.0,701339.0,724749.0,826214.0,1.127905e6,1.257191e6,1.422967e6,1.575092e6,1.698271e6,1.785371e6,1.901505e6,2.023754e6,2.153119e6,2.304416e6,2.452254e6,2.588088e6,2.725775e6,2.860478e6,2.986486e6,3.154377e6,3.341606e6,3.518334e6,3.684086e6,3.872766e6,3.989893e6,4.049944e6,4.094562e6,4.127554e6,4.158572e6,4.205452e6,4.257909e6,4.380125e6,4.487336e6,4.592042e6,4.725684e6,4.874996e6,4.940351e6,4.892722e6,5.120552e6,5.266702e6
Total assets [ = sum(l.4 :l.17) - sum(l.18:l.21) ],0.01463309588347832,0.01721081267446191,NaN,0.02099533549034478,0.023270334928229663,0.024658802559682086,0.025919078687680945,0.026249104392105375,0.028180524885488726,0.028119025015654053,0.03142295760184353,0.031116491801476374,0.029828010473451516,0.03169627318995239,0.03433122628695867,0.034893751338786194,0.032956961346165714,0.0331998727455573,0.03437873097943824,0.03378472817857126,0.03264825661611984,0.030592765145642385,0.028428693615080068,0.03305019844254527,0.03913321957557956,0.044623744276630774,0.04792260460352539,0.05480256880958313,0.0913910623937354,0.11162800800849738,0.1218443058504887,0.12481800741353889,0.12498097409131897,0.12393407201816718,0.1268923929939219,0.12949762296706185,0.13319715804799345,0.1362993072568456,0.1524296546380599,0.1605994514729802,0.1691063678439135,0.17468736230547172,0.17794916078155504,0.1845263567712937,0.19086038100807842,0.19953114830931745,0.20990416840853007,0.22067618999502228,0.22967281957973856,0.22798476891659517,0.22379375216318587,0.22093759207855473,0.22059096162677666,0.22107080528633927,0.22166151517684443,0.22665504825098487,0.22654041168254593,0.2308123338831719,0.23049469653992213,0.21807598246480675,0.21673863130433443,0.2356395957554897,0.23475583964102978,0.22846977821279563
    Cash,0.0015871132973196793,0.0016604404275953112,NaN,NaN,0.0024064663895207467,NaN,0.0025459975831515756,0.0028087738839016785,NaN,NaN,0.0030893363403644795,NaN,NaN,NaN,0.0035408762319556384,NaN,0.003270762013740842,NaN,0.003434025225931466,0.003211260933518002,0.0029683264359713826,0.0028071806774700794,0.0024560287816713287,0.0032064379660319475,0.003870265528318636,0.004409650454364992,0.004566003430761015,0.005329068215321278,0.009131176889179984,0.010611354894300287,0.011163787095104563,0.011566037311860991,0.011893874259535649,0.011865404756540585,0.012190237482829849,0.01238324201384448,0.012656468425860589,0.013684599588610206,0.015260575394937857,0.016191711804398125,0.01709180419579258,0.017223503143903123,0.018893334570662872,0.020079770188015343,0.020608542174932024,0.02137304288152535,0.02261801159994745,0.023646958655309733,0.025119585859777808,0.026083011337546688,0.027418211008417077,0.027998212967517845,0.028994437468541127,0.030683093976425452,0.030743798399626366,0.031665925948558556,0.03249729311568356,0.03409691366293479,0.032722039636546865,0.02967144241555546,0.031186952013237523,0.04415586274631898,0.04586145375605173,0.03901967137183456
    Trade notes and accounts receivable,0.003821517710973174,0.004351936458068298,NaN,NaN,0.005701560906737783,NaN,0.006432805820913418,0.006202933561507425,NaN,0.006018210792312983,0.007078132692619508,0.006527774542696703,0.00623383525775851,0.00649622862771771,0.006798991985272658,0.006579022846244895,0.0061619676848057815,0.0059750508697499535,0.006296723645491986,0.006160483994082325,0.005524244547607783,0.005220370089738345,0.004627890008266187,0.0054100261709097075,0.006646780523483794,0.007981957904336052,0.008478786368866962,0.009134692947968951,0.01739087290676108,0.02117447986589357,0.022708713161915632,0.02366944132155789,0.02286085611392681,0.02306132269133128,0.02421575100542257,0.02504549091040828,0.025780023139503668,0.025942889875812603,0.031659718763581965,0.03432668882092621,0.03658774570737601,0.038768612222552595,0.039369238916647425,0.040722690726452695,0.04290831138790812,0.045817838970578846,0.04903376266191852,0.05206420633859606,0.05642238950498776,0.054897120027255504,0.05216293984549181,0.05149570133399819,0.05088076654137392,0.05065545758974577,0.050966235785601804,0.05256930556768694,0.05168735544904326,0.05215536376052365,0.05350332809813043,0.04965481192472148,0.038666044335598795,0.037753096672740814,0.03671798524339381,0.03726742372771287
    Inventories,0.0034278027198104493,0.003817016420161436,0.004290166112602253,0.004398730299608228,0.004944993332810416,0.004983693714753236,0.00546881066538774,0.005376071717477201,0.0055828115061299435,0.0056226219926412664,0.006358712283132619,0.006087762728698233,0.005954757264883891,0.00611709391686407,0.006772240447432818,0.007064934123629746,0.006801737072260497,0.0069607993329817465,0.007070822921800381,0.007072911665636871,0.00664760652722742,0.005714690791014056,0.005038894420121227,0.005789465483617537,0.0065446387737277375,0.007163943646902266,0.008249053060639382,0.009645737615104798,0.01943732213712472,0.02329967107411565,0.02458644688190188,0.024509043216128942,0.02375692194820862,0.023551135242143532,0.024316108675306286,0.025168629779521345,0.025439101991439773,0.02520345833990865,0.025823617624235913,0.025295365557971655,0.025919925944630624,0.02624044186335084,0.02492865383995678,0.0266391839114409,0.027025771159477848,0.028747741134708814,0.029624962564795975,0.030863788086250142,0.03013244692566678,0.028699460495974844,0.025069580283058505,0.02550536252611557,0.026137746789496128,0.02680595386850105,0.02755841502384708,0.027971492726828924,0.027707075843976987,0.02753284287994313,0.02754320204942846,0.027197144184430713,0.026157802221004643,0.02406911693932819,0.023837539885638515,0.024918684920835904
    Investments in government obligations ,0.0001664915825432183,0.00018833589610274678,NaN,NaN,0.0002649666640520825,NaN,0.00015303473444978978,0.00021601300198914697,NaN,NaN,0.0003664932218962967,NaN,NaN,NaN,0.0001388209146218261,NaN,0.0001714875150156923,NaN,0.00018350765145598143,0.0001693847462939047,0.0001352154447114241,9.864463286584186e-5,0.0001291433442852773,0.00024847022345010405,0.0003685035764623265,0.000408030190114803,0.0005106862697422597,0.0005718113533601288,0.0010143114156633641,0.000955297475115718,0.0006764028871344552,0.0008653884595106206,0.0009734960082843344,0.0008056210984510439,0.0007612402255342558,0.0008948417479549174,0.0008729572136466787,0.000829747153579495,0.002058257414236603,0.002918584916808979,0.002864889444399913,0.002713387888266378,0.0028423837468574964,0.0033182256045049606,0.00385519921092485,0.003974579764456591,0.00400929528099008,0.003831165865385485,0.004085656727253433,0.003704058033852991,0.0038078639917884065,0.003834371665677341,0.004097771615563652,0.004068071800304787,0.004030069814118303,0.003911454976102527,0.0035052532604639545,0.0032219045097416827,0.003125337304486791,0.0026704234150618624,0.0024201326166382125,0.0026395742353047895,0.0032937492742557686,0.0032214765108398843
    Tax-exempt securities (1989-2019),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00028630631844270575,0.0003500270997983614,0.00043150736205753405,0.000506339329300509,0.0004925823339859,0.0005327849955730815,0.000463572821567829,0.00043902668633026976,0.000692790087428208,0.0008977804583276921,0.000962850938598127,0.0010105190230136674,0.0010910712971141652,0.0012332746643184422,0.0014657326658781735,0.0014780101751662165,0.0016052067470105713,0.0016425533399495337,0.001730256010890529,0.0017045477472978421,0.0018671111274730253,0.0019953693179420706,0.0021135448352574263,0.0022928453171748193,0.0023564342153691293,0.0023229906535262275,0.002356659318036237,0.002310231480464706,0.002182349704279531,0.001843919565138671,0.0016663688484047944,0.0021302397849179153,NaN,0.001987848601403191
    Other current assets,0.00021625253520532768,0.00027446522930333234,NaN,NaN,0.0005916087536277355,NaN,0.0011268953197474299,0.0011823929757786317,NaN,NaN,0.0015203274322803811,NaN,NaN,NaN,0.0021565755281413466,NaN,0.0017478236148765745,NaN,0.0020941048867676743,0.0019704966705633062,0.002164578681118838,0.0017910623534677932,0.001682470539042064,0.0023389367570740855,0.002688897584450135,0.002471612806873764,0.002828175937242379,0.0034206600924834335,0.005355633478641007,0.006593607524809804,0.0071932518904278585,0.0069184727050025955,0.006934186990886355,0.006791965188248994,0.006915266165968682,0.0070559173601623445,0.0071508062633994915,0.007647276728878865,0.00846905317507839,0.00919800201195721,0.009449882527277053,0.010085265153909607,0.010591151102979429,0.011027504531934353,0.011666552291503913,0.012207990606027766,0.014001942987746869,0.015123298379807786,0.015478087328733526,0.014394574438136253,0.013511028785817886,0.012737054181312463,0.012662791322312461,0.012303546887314299,0.012275456390005072,0.012538910360652557,0.013253699381235953,0.013406404804957087,0.013643520974957198,0.01339480859211689,0.01386610935886576,0.015144069544629612,0.016249247554702938,0.016613660405792232
    Loans to shareholders,5.685761060012959e-5,9.65813762256122e-5,NaN,NaN,0.00022058200643187701,NaN,0.00028378569532890827,0.0003197498444826374,NaN,NaN,0.0004906757467215008,NaN,NaN,NaN,0.0005179398278068383,NaN,0.0005591060380888169,NaN,0.000633600982983208,0.0005852094681108471,0.0005456152684109704,0.0006329354878562227,0.0006277369076354185,0.000755532122391694,0.0008679325862855589,0.000925433170539128,0.0010236389712879458,0.001109330642577972,0.001691831154748039,0.001999600873723703,0.0022311425168126658,0.0022767298592822846,0.0023394971102424127,0.0022818255894221256,0.0024890971995720967,0.002412807681815163,0.0025583778995880626,0.0026994837932586674,0.0028228636795206838,0.0029336201977817715,0.0029535541468888728,0.00307619916667252,0.003255089407611788,0.0033372653102156187,0.003572474283045795,0.00353640287018396,0.0037990397721577485,0.003957765010712903,0.004030767789480724,0.00431528744141279,0.004288701247203788,0.004250550353243421,0.004159335109090336,0.004030153002620283,0.004007598744671647,0.004003738157890403,0.004036401328689519,0.004028938394982205,0.004166601468827768,0.0041856919627685524,0.004092982436104171,0.004646815964664979,0.004601541665147565,0.004660004212689545
    Mortgage and real estate loans (1959-60 & 1966-2019),0.00013913628573728948,0.00015753288272840914,NaN,NaN,NaN,NaN,NaN,0.00014696943991620502,NaN,NaN,0.00026324985382487486,NaN,NaN,NaN,0.00035193240239768316,NaN,0.00037386462374117455,NaN,0.00039847470441814063,0.0005163584437652848,0.0004946712122140588,0.0005037782079419538,0.0004087412664820936,0.0005044534807668785,0.0007192071189129007,0.0008793264733395697,0.0011210690349042942,0.0012636094480101127,0.0014554263817359273,0.001589621227254099,0.001720264713076833,0.0016607283003730918,0.0016396106674608473,0.0016705679024993686,0.0017893311116810398,0.0015265955432210512,0.0014868403399116907,0.0016215478968359452,0.0028521231931907844,0.0027689994181720762,0.002838340546716433,0.0027161942617622246,0.0031088976310462866,0.004145303624046903,0.004392628868454015,0.0052918068925144526,0.005282299132377553,0.004672312199926706,0.004120459757853752,0.003844324544129119,0.004073033851825661,0.004300726275570602,0.004325769635016807,0.004927769338813841,0.004418571215394543,0.005009391907310131,0.004714346402154597,0.005310743421147441,0.00499740833491484,0.003818260785119814,0.013201328301945656,0.01611202762667775,0.014551204656396064,0.013428752043687923
