Tax Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of returns,1.6955023e7,1.7176487e7,1.7408809e7,1.7575643e7,1.7904731e7,1.833819e7,1.8925517e7,1.9710079e7,2.0590691e7,2.1467566e7,2.2074953e7,2.3122698e7,2.2614483e7,2.2659976e7,2.3003656e7,2.342694e7,2.355385e7,2.4074684e7,2.4631831e7,2.5226245e7,2.5525915e7,2.6426406e7,2.7117163e7,2.7817189e7,2.8353367e7,2.9309596e7,3.098381e7
"Business receipts, total",0.10444953550807234,0.10147327419291657,0.10132260157079195,0.10064684111134138,0.09959633827180149,0.09609161788932812,0.09421553524770732,0.09166909871731645,0.09327211906889273,0.09378493407224386,0.09253028200112873,0.0915007750326995,0.08919805784238201,0.08139464287601376,0.07944321435664937,0.08115134259998825,0.08007703650246678,0.07947374416070724,0.07916136283120907,0.07890590176484649,0.07562941588722054,0.078081687521307,0.07696111948404077,0.07612489824736159,0.07509595214210284,0.07873428431555812,0.07985979231931818
   Income from sales and operations,0.1030017725484639,0.10008131084486577,0.0998738001661073,0.09919790945484101,0.09832729233343401,0.09470919271902127,0.09290452075320328,0.09024910648586604,0.09185633569273997,0.09240043593175254,0.0911070981224607,0.09008955095912542,0.0877318138111243,0.08006747682546296,0.07815859855135611,0.07988623996873792,0.07880047569916765,0.07839755737371527,0.07811726021229502,0.07778809090058884,0.07467383954395322,0.07703306810254199,0.07598646073713496,0.07501742327361276,0.07389552460152454,0.07753330448971987,0.07868820766256603
   Other business income (loss),0.001447762959608439,0.0013919633480508193,0.0014488014046846582,0.001448931656500372,0.0012690459383674804,0.0013824251703068505,0.0013110144945040346,0.0014199923187374797,0.0014157833761527605,0.00138449814049132,0.0014231838786680228,0.0014112240735740793,0.001466243963552266,0.001327166050550809,0.0012846158052932655,0.0012651026312503317,0.0012765608032991324,0.0010761867277526626,0.0010441026189140499,0.001117810864257643,0.0009555763432673153,0.0010486194187650055,0.000974658746905819,0.0011074749737488175,0.0012004275873613076,0.0012009798258382437,0.0011715846567521592
"Business deductions, total",0.08255305419638152,0.0797281513420146,0.079021504020218,0.07905866253868168,0.0786645086231991,0.07556591147039449,0.07401341911892535,0.07159344421701312,0.07304478277994395,0.07311734679673909,0.07246147752143359,0.07215192699741914,0.07134162492513471,0.06454837230688323,0.06172933026450778,0.06309291499366784,0.06137351237882191,0.06163191311631171,0.06124951900081656,0.06082654333400802,0.058224364079748736,0.06049855431100654,0.06014569020254916,0.05956233152841075,0.05936092947737155,0.06145407136455089,0.06417075436235593
"   Cost of sales and operations, total",0.0391943711491044,0.0372550825690127,0.037640926767030604,0.03842514940030144,0.03778976694067049,0.03433737024695592,0.03218789758505452,0.029535934691811164,0.030363041323066275,0.03043713305351549,0.029652094160630065,0.02920256258226691,0.029442950990334237,0.0253098699570875,0.024373010952044496,0.02524833074055375,0.023979081172169014,0.02403020345799989,0.023673172597806765,0.023596132258731188,0.021837322991071537,0.022052707251879477,0.021384554684826813,0.020396988121902795,0.021153534309092826,0.02184847438288822,0.022268087986258404
"      Inventory, beginning of year",0.003966388963278395,0.003737457260533075,0.0033986891713691228,0.00327483353012489,0.003161898621708501,0.0032296809967256443,0.0031376504834612303,0.0030484698139476014,0.0029271131444563877,0.0029220856161617926,0.0029750210324095624,0.003072330282485532,0.003164232543269531,0.003148694021101021,0.0027785839310873815,0.002657099173242207,0.002410906812304932,0.0023898083389161445,0.002343110043776349,0.0022731812412985193,0.002180083842982948,0.002122049232662567,0.0021363997200689604,0.0021169620290304794,0.002089143997685925,0.002036560059800271,0.001925820355657543
      Cost of labor,0.003220753507750781,0.0029076806529415387,0.0030286192471943325,0.00298232676147825,0.0028561920883055543,0.002648126726232996,0.002780558852561435,0.0024468373710879025,0.0026003262123321914,0.0024666403153507078,0.002297689138417105,0.0023845547410196936,0.0021179686716097956,0.0019110608481090743,0.0018049154324239179,0.001803608997898169,0.0018834188816639872,0.0019425783897488035,0.0018796461045455233,0.0020194293321040007,0.0019146734685770682,0.0021349757409991036,0.0020032447872622857,0.001978997939738297,0.0019469660773114516,0.001881826985104093,0.0020774987109768734
      Purchases,0.02725448965096774,0.026144872219952733,0.025533447271416824,0.026532526674842894,0.02622097469581362,0.023298316875873956,0.020778068713384477,0.01906745353054393,0.01955624703082442,0.019394422831405952,0.01881879722339622,0.018255537911935613,0.019002367862340216,0.016497751806232145,0.01592422113113249,0.01639349393951127,0.015450462010204277,0.015387537814672546,0.014539543988126399,0.014466797383484543,0.012727614427144651,0.012981881646342652,0.01228955391122104,0.01162591445062489,0.01193355642903595,0.012614473284077209,0.01283195049444985
      Materials and supplies,0.00501335047333609,0.004377947927334046,0.004652171835754821,0.004335648766318367,0.004213806093326747,0.004138969652886539,0.004171358723877557,0.004063617787359959,0.004360074030080225,0.004287228116884805,0.004321167047384103,0.004250244365364426,0.0038316114260241564,0.003115441930196897,0.002970419838007529,0.0031435706074950517,0.0030749678386265016,0.0030666372326285615,0.0032121247573139193,0.003340160892973109,0.003407794122738031,0.0032918289431698856,0.0034023309642342396,0.0032493157143771057,0.0033700370535479744,0.0034262890218579936,0.0037513727510989033
      Other costs,0.003924283319389946,0.003960339266961016,0.0046561776542547425,0.004812892345812119,0.004687058723911691,0.004399022144261221,0.004639816899970245,0.004131438971059971,0.00410787426181916,0.00458969221801005,0.004460653741503344,0.00448774663491552,0.004521155647899757,0.0038243290350845867,0.0036560305020190416,0.003948140391129796,0.0036464568963767005,0.0037100147547347462,0.004154703183266737,0.0038783465051334463,0.003870980631497737,0.003771763169496059,0.0036896406925543495,0.00360036772546978,0.003917969499441902,0.003891392541699077,0.0038424988372500932
"      Inventory, end of year",0.004184894641750737,0.0038732146421263315,0.003628178523300206,0.0035130785744455608,0.0033501634774994555,0.003376746149024436,0.0033195559967016523,0.0032218827821881998,0.0031885932745942687,0.0032229359676059807,0.0032212340224802676,0.003247851353453877,0.0031943850931037813,0.003187407614566226,0.0027611598826258617,0.00269758243282641,0.002487131328530814,0.002466373072700909,0.0024559554792221642,0.0023817830416027444,0.0022638235018689,0.0022497914298018644,0.0021366153421031892,0.002174569690912462,0.002104138747930378,0.002002067467501937,0.0021610531631748604
   Advertising expenses,0.0011116964415996686,0.0010466550363087278,0.0010387486583917562,0.0009815689097858495,0.0009900251215691966,0.0010181583149915295,0.0010282613183070384,0.0010771298264296532,0.0010549324083856885,0.001108158194097382,0.001105571223451084,0.001086829086843181,0.0009998203097632192,0.0009402329744709704,0.0008810708054391227,0.0008592751465217479,0.0008428671887545013,0.0008834145514135892,0.0008518603159516356,0.000862075846983269,0.0008609270353976112,0.0008907914613130198,0.0008595091253529879,0.0008600712386853434,0.0008434525843192424,0.0008782233317576824,0.0008991716400020357
   Car and truck expenses,0.004545979981474329,0.004515011742277983,0.004382269000907775,0.004234890935391871,0.004459216470821442,0.00447479282841531,0.004619714527480194,0.004666947003652964,0.00482764408461647,0.005446122257375205,0.005457781188097527,0.005666882959146422,0.005758680345151498,0.005183587698551195,0.0048677833853224915,0.0053466172367576574,0.005299753967799867,0.005274848476213906,0.00524303041014331,0.0049090065990092715,0.004712461738057496,0.004927261239004365,0.005112018599845202,0.005403700662331101,0.004875056566507828,0.004919854191529883,0.005470106599928903
   Commissions,0.0013367472955320135,0.0012807595920141317,0.0011830903128685042,0.0011658390069245986,0.0011336986067245266,0.0011463011139084378,0.001287093695112172,0.0011785890044472764,0.001085930437720734,0.0011840961525468171,0.0011316440283410407,0.0010065636661243695,0.0009059812474889746,0.0008121960618085273,0.0008130286781734113,0.0008130486472459911,0.0008763298443395675,0.0008395019324751255,0.0008085062713615715,0.0009157811751930949,0.0008694910207773894,0.0009478375137963284,0.0009043449534277707,0.0009537286985662291,0.0008991806002456763,0.0010293570944014377,0.0010156571116348146
   Contract labor,,,,,,,,0.0014819423119727315,0.002020655230545536,0.002164523398181652,0.00250281620399226,0.002533773476554328,0.0023959747897441424,0.0022314228135565336,0.0022884823155018374,0.0024219682748395934,0.002586429592278071,0.0028225385785634383,0.003040629168172126,0.0029609471845861435,0.0030236152647980874,0.0033061639695734805,0.003352855437964466,0.0035959367561217087,0.0035967446696958043,0.0038947495421093924,0.004356771510796514
   Depletion,7.014882222763387e-5,6.590784876617478e-5,4.194600861961573e-5,4.018202561432814e-5,6.682052554728576e-5,6.555222587488538e-5,4.226676138619913e-5,5.577713864242414e-5,6.348158775548825e-5,8.143032120766333e-5,7.66055981857588e-5,7.054414231971474e-5,9.639704148894553e-5,4.7503164614447496e-5,6.062015801611951e-5,6.39760349729085e-5,5.765120767418667e-5,6.205045139465033e-5,5.101936388731165e-5,2.5991446087046973e-5,2.2885508696583706e-5,2.938420369218965e-5,3.315806014915584e-5,2.6326112993037783e-5,2.1709562554990504e-5,2.466145809734572e-5,3.894112574456102e-5
   Depreciation,0.00338959463265884,0.0033372294332928557,0.0032148520708296328,0.003181082738424773,0.00314079697183247,0.0031587404338093744,0.0033527006046605084,0.0036446685491578978,0.0035115075505050422,0.0029971327988985823,0.0028232258457714017,0.0027390733377973594,0.0028061418583328673,0.0023861215727209993,0.0023339791139208124,0.0022830688373364364,0.002106866568598318,0.0020958055429392284,0.0020768175487947673,0.0021007234264145886,0.0020422316231933644,0.0021452788691390654,0.002458138390810919,0.0024130561019038922,0.002576084450071089,0.002765140547285437,0.003002864367900442
   Employee benefit programs,0.0001746108878324891,0.00016519421858357723,0.0001721764877300292,0.0001727233196541397,0.0001826049912242297,0.00019284187221441383,0.0002090168749361796,0.00021138075058155012,0.00021427175270004672,0.00021460738724938353,0.00020756793252952119,0.00020101521131213353,0.00019614299713836188,0.00019825049849541378,0.00020000098345594527,0.00018913363383422227,0.0001809332735325585,0.0001839589073498981,0.000170815165124217,0.00016005586001304508,0.0001537824184562832,0.00015844334278905954,0.00014939934691794105,0.00014791600104401202,0.00015067441686497594,0.00014145975799604183,0.00014206163253848244
